"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"ARID5A",2.22447427801399e-72,9.21249638519395,1,0,1.8127240891536e-68
"CD28",2.02280874494838e-05,1.29502022142385,0.433,0.156,0.164838684625843
"ANKRD12",3.70977450268504e-05,0.32930762525296,0.733,0.473,0.302309524223804
"MAP3K2",6.64805793914779e-05,2.23477614579228,0.25,0.054,0.541750241461154
"CNBP",0.000136029251091724,0.970084422095713,0.483,0.219,1
"BBC3",0.000212201307291857,5.19967234483637,0.067,0,1
"MTFR1L",0.000228653882783276,5.56224242422107,0.067,0,1
"FXYD5",0.000330689399631233,0.755515990537986,0.683,0.403,1
"CCR7",0.000404780263948443,1.69187770463767,0.35,0.14,1
"SPSB3",0.00047448011909657,0.964455883142333,0.417,0.181,1
"P2RY8",0.000482914282295203,1.77760757866355,0.267,0.079,1
"GLOD4",0.0010534289113255,3.97727992349992,0.083,0.003,1
"PPP1R35",0.0010864564997722,3.39231742277876,0.083,0.003,1
"CUL4A",0.00111445736814509,1.877744249949,0.233,0.067,1
"NTMT1",0.00111759574523868,4.39231742277876,0.083,0.003,1
"DHX40",0.00111940067820706,2.77934054588801,0.15,0.025,1
"CTR9",0.00116622702128752,1.97727992349992,0.2,0.048,1
"ZNF444",0.00123557524154514,4.71424551766612,0.05,0,1
"ZNF689",0.00130141015730535,4.39231742277876,0.05,0,1
"DCAF12",0.00139286793989135,5.39231742277876,0.05,0,1
"TMEM116",0.00148854907470273,4.97727992349992,0.05,0,1
"MLH3",0.00151271932192957,4.71424551766612,0.05,0,1
"MED18",0.00157812689305104,4.39231742277876,0.05,0,1
"SSSCA1",0.00158408164742726,5.19967234483637,0.05,0,1
"ZNF230",0.00162973060876112,4.71424551766612,0.05,0,1
"LINC01678",0.00163630068076532,4.97727992349992,0.05,0,1
"SERINC5",0.00165970652250045,1.33985000288462,0.283,0.105,1
"TRABD",0.00173620834670767,1.32582201099185,0.4,0.181,1
"SPOCK2",0.00175005165897839,0.317640736484264,0.683,0.467,1
"TRIR",0.00204006159959302,1.13597766951897,0.383,0.171,1
"CD247",0.0021003939026869,0.702385362456062,0.5,0.273,1
"IKZF2",0.00216960067528036,-3.25153876699596,0,0.089,1
"UBR1",0.00235639942665187,-3.30812229536233,0,0.089,1
"FAM200A",0.00266057214535167,3.61470984411521,0.067,0.003,1
"GCC2",0.00275758528252141,0.798136392028225,0.483,0.257,1
"GUSB",0.00298304543816029,2.0703893278914,0.217,0.067,1
"OGA",0.0030926552400592,1.14567745519564,0.45,0.235,1
"MACO1",0.00317120112715453,1.8073549220576,0.133,0.025,1
"ETF1",0.00318474540216596,2.54432051622381,0.15,0.032,1
"CTSB",0.00322353926748295,1.04439411935845,0.283,0.111,1
"POP5",0.00326534107681337,-3.44057259138598,0,0.083,1
"AGTPBP1",0.00328578111884707,1.5298209465287,0.167,0.041,1
"TNKS2",0.00360370775625177,1.10691520391651,0.333,0.143,1
"HLTF",0.00373913526689213,3.19967234483636,0.083,0.006,1
"HSDL2",0.00380695379744922,3.71424551766612,0.083,0.006,1
"ANXA2",0.00425402417046716,-3,0,0.079,1
"MRPL48",0.00435418897421342,3.71424551766612,0.083,0.006,1
"GMDS-DT",0.00471722127128871,1.92283213947754,0.133,0.025,1
