"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"ARID5B",1.33883300127653e-106,9.01332792127809,1,0,1.09101501274025e-102
"RBM25",0.000116327327692682,-0.282639939077639,0.398,0.314,0.947951393367665
"ZBTB32",0.000215062209261724,4.3230124204107,0.053,0,1
"FAM129A",0.000218852758045186,0.708302576295494,0.376,0.19,1
"MT-ND4",0.000291356763446084,-0.35262774793967,0.887,0.921,1
"LSP1",0.000326302525640655,0.940542783588289,0.383,0.19,1
"RPL11",0.000332908307218207,0.300789682050869,0.602,0.417,1
"TNRC6B",0.000362167838928707,1.05859678417855,0.368,0.178,1
"H3F3B",0.000406699008490502,-0.268643490483684,0.722,0.661,1
"MT-ND2",0.000469657990888112,-0.333506530651433,0.85,0.876,1
"CCR8",0.000474517537775866,2.80218025710926,0.098,0.012,1
"EMP3",0.000572989258533503,0.897528133696742,0.376,0.19,1
"CTSS",0.000639254886332767,1.18550889666077,0.248,0.099,1
"SF3B1",0.000702361498018443,0.60858371500503,0.586,0.38,1
"MBOAT1",0.00073636591634873,4.3230124204107,0.045,0,1
"SLC25A3",0.000827984905328589,0.579127412304705,0.361,0.194,1
"FAM160B1",0.000928088707651451,1.38867184651716,0.256,0.103,1
"TRAF3",0.000974038493354807,2.57978783577281,0.105,0.017,1
"ITGA4",0.00108426047351205,0.433230247000057,0.609,0.413,1
"ELOVL5",0.00120497433062806,0.830790866655736,0.376,0.198,1
"GPR183",0.00121668103785782,0.575075708423493,0.459,0.277,1
"BATF",0.00123681322843398,0.707076316093414,0.331,0.174,1
"XRCC6",0.00134910929999251,0.685243560514893,0.361,0.194,1
"RNF138",0.00135881008208563,1.54165270688604,0.158,0.045,1
"PPM1K",0.00140624582320572,1.01885902725132,0.241,0.099,1
"IER2",0.00155529452405552,-0.780938543628206,0.338,0.372,1
"BDP1",0.00156216508259406,1.19288842702636,0.248,0.103,1
"CFLAR",0.00157100930379019,0.548078976045475,0.398,0.231,1
"FCRL3",0.00163906253503558,3.1266152076072,0.09,0.012,1
"IQCB1",0.00172370864904151,2.62911554813638,0.09,0.012,1
"KANSL1",0.00185608338774399,0.946042961965378,0.248,0.107,1
"CTLA4",0.00196665019547965,0.841554495443406,0.383,0.211,1
"STK4",0.00215414996572061,0.288366277603811,0.699,0.525,1
"CD4",0.00225203321288392,0.930694997631942,0.203,0.083,1
"ZFP36L2",0.00229269271293422,-0.337427749103618,0.774,0.81,1
"SMS",0.00239154911570044,4.03350580321572,0.038,0,1
"UBE2B",0.00239456145680163,0.45393656126478,0.301,0.169,1
"RHOG",0.00242074131557272,1.35543389810308,0.218,0.087,1
"FAS",0.00244107444704387,0.752549489384661,0.331,0.174,1
"RAPGEF6",0.00246626803101262,0.735256704797865,0.211,0.091,1
"DICER1",0.00246886297817959,0.979058019193341,0.188,0.07,1
"NFKBIA",0.00254888767562626,-0.304363835540667,0.549,0.5,1
"FOSB",0.00270327142640987,-0.703459790950489,0.406,0.488,1
"ICOS",0.00270784129097504,0.803874555649137,0.466,0.293,1
"LYRM2",0.00273580864138798,1.8635808017734,0.113,0.025,1
"RHBDD2",0.00277012605847608,0.891061538195512,0.233,0.103,1
"RPLP1",0.00277211621375324,-0.359731412415933,0.744,0.777,1
"STK17A",0.00278099427774487,0.451603102243619,0.504,0.326,1
"MBNL1",0.00292352350245463,0.325561802662524,0.669,0.492,1
"TNFRSF18",0.00300243608830036,1.00330556544002,0.226,0.099,1
"NEDD9",0.00302356069438513,0.863580801773405,0.271,0.128,1
"RAB5B",0.00326916451399745,-2.83685891636769,0,0.041,1
"PDE4B",0.0033848488109804,0.287079879800445,0.609,0.442,1
"AC245014.3",0.00340021293522167,-4.18081331758505,0,0.045,1
"GTPBP1",0.00345643675990492,2.03350580321572,0.083,0.012,1
"TNFRSF4",0.00349429248739722,1.28679223249795,0.188,0.07,1
"WIPF1",0.00357760476746836,0.259881738470663,0.444,0.306,1
"LRIF1",0.00384073786842889,-3.30634419966891,0,0.041,1
"IP6K1",0.00387700173374563,3.67093572383101,0.06,0.004,1
"CCR6",0.00404311922383778,0.597300736435957,0.301,0.165,1
"CASP8AP2",0.00430797648723103,-3.99440019335417,0,0.041,1
"TROVE2",0.00445205488317813,0.609824209527622,0.158,0.062,1
"ZNF84",0.00454169128602137,-3.04330979383511,0,0.037,1
"MIR3142HG",0.00455973920862802,3.44854330249456,0.03,0,1
"ACIN1",0.0046044325665151,0.95821767591148,0.278,0.136,1
"TRIB2",0.00465125670170815,1.73804991968955,0.098,0.021,1
"TMIGD2",0.00474206580567365,-2.42182141708884,0.015,0.091,1
"SRSF7",0.00482379138424018,-0.367983265461294,0.737,0.76,1
"CDKN1B",0.00492156355750683,0.396454791346107,0.451,0.298,1
"FOS",0.00509418144801473,-0.419437978514544,0.549,0.558,1
"IKZF2",0.00512163099217182,1.26213017826368,0.135,0.041,1
"SAMSN1",0.00521656619827004,0.295297042198879,0.692,0.525,1
"ENO1",0.00536848349435462,0.495193395793382,0.271,0.149,1
"EVL",0.00565178234794774,-0.315866973787414,0.579,0.587,1
"MT-ND6",0.00565232729680477,-0.25064894903972,0.82,0.793,1
"HNRNPK",0.00567616591393247,0.367623307110994,0.398,0.256,1
"NDFIP1",0.00572653463873522,0.408211208459343,0.421,0.273,1
"ARHGDIB",0.00581803917636212,0.287180314555673,0.647,0.483,1
"COX4I1",0.00598718732436331,0.550990571465379,0.316,0.178,1
"INTS14",0.00622712438161952,2.24209242502713,0.068,0.008,1
"ATP11C",0.00637291192977256,-3.1364191982266,0,0.037,1
"SRPRA",0.00648659227501634,0.594764043345605,0.391,0.236,1
"GBP5",0.00661441065220024,0.812050501133323,0.226,0.107,1
"GOLGA1",0.00677937761800877,4.18550889666077,0.03,0,1
"LRRFIP2",0.00713863385122339,1.1266152076072,0.113,0.033,1
"GK",0.00720267345493161,0.720622847931362,0.188,0.083,1
"MEN1",0.00722952669141172,3.67093572383101,0.03,0,1
"ARMH3",0.00725896833514357,3.44854330249456,0.03,0,1
"SNRPC",0.00729363915915901,3.18550889666077,0.03,0,1
"ABR",0.0072950996718098,3.67093572383101,0.03,0,1
"C9orf85",0.0072958268673299,3.44854330249456,0.03,0,1
"MSH6",0.0073170453799949,3.44854330249456,0.03,0,1
"TMED8",0.00735222821707784,3.44854330249456,0.03,0,1
"CLPP",0.00737539068582212,3.18550889666077,0.03,0,1
"C16orf70",0.00738491185356785,3.67093572383101,0.03,0,1
"MTMR6",0.00739117795066859,0.831159324081027,0.203,0.091,1
"SUFU",0.00742368767437186,3.18550889666077,0.03,0,1
"ATF7IP",0.00746308030925767,0.418795959100509,0.451,0.298,1
"ZMPSTE24",0.00753009829419488,1.8635808017734,0.075,0.012,1
"CIB1",0.00758101261152519,0.690249198887843,0.226,0.107,1
"SNX9",0.0076306606277204,0.72441805410178,0.323,0.182,1
"CAST",0.00803188068874428,0.378153974603163,0.331,0.207,1
"MCL1",0.00820411348116025,-0.278438203099023,0.654,0.624,1
"RSPRY1",0.00826322765619997,2.44854330249456,0.075,0.012,1
"SPOCK2",0.00836791059663245,0.367471691847243,0.609,0.442,1
"TENT5C",0.00841059059226356,0.284156484593679,0.361,0.236,1
"JUN",0.00846198009584693,-0.490391546319707,0.511,0.517,1
"TRAC",0.00865184870005663,0.448543302494561,0.263,0.149,1
"P2RY10",0.00865902039250862,0.958738034813745,0.218,0.099,1
"TMEM273",0.00876164692575304,-2.59585081686389,0,0.033,1
"PSMB9",0.00877564836548348,0.81548651357236,0.256,0.128,1
"LTB",0.00885156935946997,0.518669388885203,0.481,0.318,1
"SPARC",0.00888821148354612,3.18550889666077,0.023,0,1
"GOLGA7",0.00906462868140346,1.27861830105225,0.128,0.041,1
"EEF2",0.00914902290974555,0.518445315724717,0.474,0.314,1
"PIM2",0.00923338633800931,0.670935723831009,0.233,0.12,1
"AGPAT4",0.00924499434775201,2.44854330249456,0.053,0.004,1
