"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"SARAF",0,3.73386198557827,0.884,0.081,0,"1","SARAF"
"CD3E",0,3.06530158587293,0.868,0.091,0,"1","CD3E"
"RACK1",0,2.33279339722929,0.856,0.163,0,"1","RACK1"
"IL32",0,1.24855996364577,0.855,0.191,0,"1","IL32"
"MT-ATP8",0,2.05509694622219,0.854,0.193,0,"1","MT-ATP8"
"PTPRC",0,2.29541902959179,0.814,0.168,0,"1","PTPRC"
"MT-ND4L",0,1.65280079903107,0.969,0.334,0,"1","MT-ND4L"
"IFITM1",0,2.87116542264306,0.737,0.108,0,"1","IFITM1"
"TNFAIP3",0,2.52042638187676,0.755,0.139,0,"1","TNFAIP3"
"ATP5F1E",0,2.42189313245735,0.725,0.132,0,"1","ATP5F1E"
"CD3D",0,1.56815200286781,0.716,0.128,0,"1","CD3D"
"IL7R",0,3.53684970442063,0.644,0.06,0,"1","IL7R"
"CD7",0,2.31515682768794,0.673,0.093,0,"1","CD7"
"FYB1",0,5.69253473656086,0.584,0.012,0,"1","FYB1"
"ARHGDIB",0,1.35833854470078,0.866,0.304,0,"1","ARHGDIB"
"CD2",0,2.46105803931431,0.649,0.088,0,"1","CD2"
"EEF1G",0,2.308349058624,0.676,0.13,0,"1","EEF1G"
"ZFP36L2",0,1.6072504123139,0.852,0.307,0,"1","ZFP36L2"
"CCL5",0,1.34587820833596,0.64,0.098,0,"1","CCL5"
"ATP5MG",0,2.50574277999488,0.626,0.108,0,"1","ATP5MG"
"BTG1",0,0.676094420091142,0.959,0.442,0,"1","BTG1"
"RAC2",0,1.77970902735221,0.701,0.193,0,"1","RAC2"
"ATP5MC2",0,2.21330672588859,0.632,0.13,0,"1","ATP5MC2"
"RPL17",0,1.21845737713006,0.889,0.395,0,"1","RPL17"
"S100A4",0,1.01020515152443,0.732,0.239,0,"1","S100A4"
"PNRC1",0,1.40913784788396,0.759,0.279,0,"1","PNRC1"
"EVL",0,2.03709393683648,0.609,0.133,0,"1","EVL"
"VIM",0,1.10636675161782,0.787,0.319,0,"1","VIM"
"PTPRCAP",0,1.05739396723628,0.772,0.306,0,"1","PTPRCAP"
"CRIP1",0,1.50127266595124,0.659,0.194,0,"1","CRIP1"
"CYTIP",0,1.60337233354306,0.663,0.201,0,"1","CYTIP"
"CD99",0,1.97827389678414,0.616,0.157,0,"1","CD99"
"CALM1",0,1.22521500213086,0.775,0.318,0,"1","CALM1"
"CST7",0,2.83376026522177,0.518,0.062,0,"1","CST7"
"HLA-E",0,0.99378980100408,0.861,0.406,0,"1","HLA-E"
"HCST",0,1.87718726228469,0.584,0.13,0,"1","HCST"
"SH3BGRL3",0,0.905423248506608,0.843,0.393,0,"1","SH3BGRL3"
"CORO1A",0,1.07303690157344,0.701,0.259,0,"1","CORO1A"
"LEPROTL1",0,2.24708613753831,0.531,0.102,0,"1","LEPROTL1"
