"","genes","code","num_overlap"
"AES","AES","100000000000000",1
"AKNA","AKNA","100000000000000",1
"APBB1IP","APBB1IP","100000000000000",1
"APRT","APRT","100000000000000",1
"ARF5","ARF5","100000000000000",1
"ARHGAP9","ARHGAP9","100000000000000",1
"ARHGEF1","ARHGEF1","100000000000000",1
"ARL4C","ARL4C","100000000000000",1
"ATP5PB","ATP5PB","100000000000000",1
"BAX","BAX","100000000000000",1
"BCAP31","BCAP31","100000000000000",1
"BUB3","BUB3","100000000000000",1
"BZW1","BZW1","100000000000000",1
"C19orf53","C19orf53","100000000000000",1
"C9orf78","C9orf78","100000000000000",1
"CALM3","CALM3","100000000000000",1
"CAMK4","CAMK4","100000000000000",1
"CAPZA1","CAPZA1","100000000000000",1
"CAST","CAST","100000000000000",1
"CBLB","CBLB","100000000000000",1
"CCL4L2","CCL4L2","100000000000000",1
"CD247","CD247","100000000000000",1
"CD6","CD6","100000000000000",1
"CD8A","CD8A","100000000000000",1
"CD8B","CD8B","100000000000000",1
"CD96","CD96","100000000000000",1
"CHURC1","CHURC1","100000000000000",1
"CLDND1","CLDND1","100000000000000",1
"CLEC2D","CLEC2D","100000000000000",1
"COX7A2L","COX7A2L","100000000000000",1
"CSRNP1","CSRNP1","100000000000000",1
"CXCR6","CXCR6","100000000000000",1
"DNAJA1","DNAJA1","100000000000000",1
"DUSP2","DUSP2","100000000000000",1
"DUSP4","DUSP4","100000000000000",1
"DYNLT1","DYNLT1","100000000000000",1
"ECH1","ECH1","100000000000000",1
"EMB","EMB","100000000000000",1
"ENSA","ENSA","100000000000000",1
"ETS1","ETS1","100000000000000",1
"FAM177A1","FAM177A1","100000000000000",1
"FAM96B","FAM96B","100000000000000",1
"FKBP5","FKBP5","100000000000000",1
"FKBP8","FKBP8","100000000000000",1
"FYB1","FYB1","100000000000000",1
"FYN","FYN","100000000000000",1
"G3BP2","G3BP2","100000000000000",1
"GCC2","GCC2","100000000000000",1
"GNG2","GNG2","100000000000000",1
"GSTK1","GSTK1","100000000000000",1
"GZMB","GZMB","100000000000000",1
"GZMM","GZMM","100000000000000",1
"H2AFV","H2AFV","100000000000000",1
"HNRNPC","HNRNPC","100000000000000",1
"HNRNPUL1","HNRNPUL1","100000000000000",1
"HP1BP3","HP1BP3","100000000000000",1
"HSPA8","HSPA8","100000000000000",1
"IKZF1","IKZF1","100000000000000",1
"IQGAP1","IQGAP1","100000000000000",1
"ITGA4","ITGA4","100000000000000",1
"ITK","ITK","100000000000000",1
"LAT","LAT","100000000000000",1
"LCP2","LCP2","100000000000000",1
"MATR3-1","MATR3-1","100000000000000",1
"MGAT4A","MGAT4A","100000000000000",1
"MZT2A","MZT2A","100000000000000",1
"NDFIP1","NDFIP1","100000000000000",1
"NEDD8","NEDD8","100000000000000",1
"NR3C1","NR3C1","100000000000000",1
"OCIAD2","OCIAD2","100000000000000",1
"OSTF1","OSTF1","100000000000000",1
"PAIP2","PAIP2","100000000000000",1
"PAK2","PAK2","100000000000000",1
"PARP8","PARP8","100000000000000",1
"PAXX","PAXX","100000000000000",1
"PBXIP1","PBXIP1","100000000000000",1
"PDCD4","PDCD4","100000000000000",1
"PGAM1","PGAM1","100000000000000",1
"PIK3IP1","PIK3IP1","100000000000000",1
"PIK3R1","PIK3R1","100000000000000",1
"PPP1CA","PPP1CA","100000000000000",1
"PPP1R18","PPP1R18","100000000000000",1
"PPP2R5C","PPP2R5C","100000000000000",1
"PRF1","PRF1","100000000000000",1
"PRKCH","PRKCH","100000000000000",1
"PRPF38B","PRPF38B","100000000000000",1
"PSMA1","PSMA1","100000000000000",1
"PTGER4","PTGER4","100000000000000",1
"PTGES3","PTGES3","100000000000000",1
"RAD21","RAD21","100000000000000",1
"RAP1A","RAP1A","100000000000000",1
"RBL2","RBL2","100000000000000",1
"REX1BD","REX1BD","100000000000000",1
"RNF149","RNF149","100000000000000",1
"RNF19A","RNF19A","100000000000000",1
"RNF213","RNF213","100000000000000",1
"RTRAF","RTRAF","100000000000000",1
"SEPT1","SEPT1","100000000000000",1
"SH2D2A","SH2D2A","100000000000000",1
"SH3KBP1","SH3KBP1","100000000000000",1
"SHISA5","SHISA5","100000000000000",1
"SKAP1","SKAP1","100000000000000",1
"SLA","SLA","100000000000000",1
"SLC38A1","SLC38A1","100000000000000",1
"SLC9A3R1","SLC9A3R1","100000000000000",1
"SOCS1","SOCS1","100000000000000",1
"SPOCK2","SPOCK2","100000000000000",1
"SRI","SRI","100000000000000",1
"SRSF2","SRSF2","100000000000000",1
"STAT3","STAT3","100000000000000",1
"SYNE2","SYNE2","100000000000000",1
"SYTL3","SYTL3","100000000000000",1
"TAP1","TAP1","100000000000000",1
"TAX1BP1","TAX1BP1","100000000000000",1
"THRAP3","THRAP3","100000000000000",1
"TNFRSF1B","TNFRSF1B","100000000000000",1
"TRAPPC1","TRAPPC1","100000000000000",1
"TRBC1","TRBC1","100000000000000",1
"TUBA4A","TUBA4A","100000000000000",1
"UQCRFS1","UQCRFS1","100000000000000",1
"WAS","WAS","100000000000000",1
"WDR1","WDR1","100000000000000",1
"XRCC5","XRCC5","100000000000000",1
"ZAP70","ZAP70","100000000000000",1
"ZYX","ZYX","100000000000000",1
"ADIPOR1","ADIPOR1","000000000000100",1
"AKR1A1","AKR1A1","000000000000100",1
"ALG5","ALG5","000000000000100",1
