"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"RACK1",0,2.89836130974291,0.522,0.069,0,"1","RACK1"
"MT-ND4L",0,1.54259850750245,0.644,0.21,0,"1","MT-ND4L"
"EEF1G",0,2.89120125516959,0.454,0.061,0,"1","EEF1G"
"MT-ATP8",0,2.19504134655934,0.459,0.089,0,"1","MT-ATP8"
"RPL17",0,0.997168373611492,0.657,0.303,0,"1","RPL17"
"ZFP36L2",0,1.06538877113403,0.488,0.212,0,"1","ZFP36L2"
"SARAF",0,2.47295509144871,0.312,0.054,0,"1","SARAF"
"VIM",0,1.69384330930721,0.344,0.101,0,"1","VIM"
"ATP5MC2",0,3.06799639210461,0.27,0.032,0,"1","ATP5MC2"
"ATP5F1E",0,2.98347517928063,0.266,0.033,0,"1","ATP5F1E"
"PNRC1",0,0.893424085051447,0.449,0.226,0,"1","PNRC1"
"CRIP1",0,1.69987598454468,0.304,0.086,0,"1","CRIP1"
"NOP53",0,2.74126397439551,0.253,0.037,0,"1","NOP53"
"NR4A2",0,0.767628024870179,0.434,0.235,0,"1","NR4A2"
"ZFP36",0,0.724863735068419,0.441,0.243,0,"1","ZFP36"
"TXNIP",0,0.957533828701613,0.378,0.185,0,"1","TXNIP"
"KLF2",0,0.971684463842223,0.358,0.172,0,"1","KLF2"
"TAGLN2",0,0.760987213583374,0.364,0.206,0,"1","TAGLN2"
"MCL1",0,1.11953686048288,0.262,0.116,0,"1","MCL1"
"FOSB",6.92691102494196e-295,0.700027496048731,0.349,0.197,1.30939399104478e-290,"1","FOSB"
"PPIA",2.88986060537371e-252,0.515268026186371,0.445,0.284,5.46270350233792e-248,"1","PPIA"
"NFKBIA",5.41381269981735e-251,0.662157186189099,0.294,0.164,1.02337301464647e-246,"1","NFKBIA"
"RAC2",6.18078049087772e-243,0.743636296335737,0.31,0.181,1.16835293619061e-238,"1","RAC2"
"EZR",5.94092996297255e-239,0.59369439868329,0.375,0.231,1.1230139909007e-234,"1","EZR"
"NR4A1",2.11842944471586e-231,0.676395589495359,0.333,0.201,4.00446717934639e-227,"1","NR4A1"
"SYNGR2",4.66746077128297e-220,0.793373059278617,0.261,0.147,8.82290109595619e-216,"1","SYNGR2"
"IFITM2",8.40551086252599e-200,0.751391324672595,0.262,0.153,1.58889371834329e-195,"1","IFITM2"
"YWHAZ",1.22394578184094e-192,0.572981880671107,0.356,0.23,2.31362471141394e-188,"1","YWHAZ"
"EIF3F",5.80672508668796e-172,0.660018110573226,0.281,0.175,1.09764524313662e-167,"1","EIF3F"
"SERP1",2.03829430415661e-162,0.65236824485274,0.274,0.171,3.85298772314723e-158,"1","SERP1"
"CD55",6.61833852631003e-160,0.651363228850096,0.254,0.155,1.25106453162839e-155,"1","CD55"
"LSP1",1.06043402267335e-151,0.55598276120947,0.3,0.195,2.00453843305944e-147,"1","LSP1"
"PTPRC",4.48138610830572e-146,0.632255114569394,0.255,0.16,8.4711641605303e-142,"1","PTPRC"
"CALM1",5.39352246796965e-141,0.575223345605338,0.278,0.18,1.0195375521203e-136,"1","CALM1"
"RHOA",9.03337285563749e-106,0.505647749472784,0.274,0.189,1.70757847090115e-101,"1","RHOA"
"EIF3K",1.15896576933672e-101,0.501098149804653,0.271,0.188,2.1907929937772e-97,"1","EIF3K"
"GNB2L1",0,0.759711719571232,0.67,0.432,0,"2","GNB2L1"
"RPS10",0,0.561551778370859,0.647,0.493,0,"2","RPS10"
"EEF1D",0,0.596023306509381,0.694,0.548,0,"2","EEF1D"
"RPL7",0,0.610236896776578,0.904,0.762,0,"2","RPL7"
"RPL31",0,0.518205049133964,0.823,0.686,0,"2","RPL31"
"RPL35",0,0.5433950785821,0.873,0.758,0,"2","RPL35"
"BTG1",0,0.82610172186148,0.704,0.591,0,"2","BTG1"
"RPS5",0,0.660312862581073,0.886,0.775,0,"2","RPS5"
"RPL9",0,0.505808124325837,0.833,0.741,0,"2","RPL9"
"RPL41",0,0.562289064389021,0.99,0.898,0,"2","RPL41"
"RPL29",0,0.509757012047995,0.816,0.725,0,"2","RPL29"
"RPS9",0,0.534411145253914,0.844,0.757,0,"2","RPS9"
"RPL12",0,0.634879069469833,0.924,0.839,0,"2","RPL12"
"RPL10A",0,0.505034515778526,0.83,0.748,0,"2","RPL10A"
"RPL15",0,0.572879766060709,0.915,0.836,0,"2","RPL15"
"RPL18A",0,0.80364561721328,0.978,0.899,0,"2","RPL18A"
"RPL26",0,0.582744720191281,0.938,0.861,0,"2","RPL26"
"RPL13A",0,0.633727048831919,0.993,0.919,0,"2","RPL13A"
"RPS3A",0,0.602073995025872,0.935,0.863,0,"2","RPS3A"
"RPL8",0,0.52794294296154,0.899,0.833,0,"2","RPL8"
"RPS12",0,0.606934148074597,0.951,0.886,0,"2","RPS12"
