"","genes","code","num_overlap"
"AC007384.1","AC007384.1","00000000001",1
"AC016831.7","AC016831.7","00000000001",1
"AC025164.1","AC025164.1","00000000001",1
"AC119396.1","AC119396.1","00000000001",1
"ACAP1","ACAP1","00000000001",1
"ACTR2","ACTR2","00000000001",1
"ADAM28","ADAM28","00000000001",1
"ADGRE5","ADGRE5","00000000001",1
"AFF3","AFF3","00000000001",1
"AFF4","AFF4","00000000001",1
"AHNAK","AHNAK","00000000001",1
"AKAP13","AKAP13","00000000001",1
"AKAP9","AKAP9","00000000001",1
"ANKRD12","ANKRD12","00000000001",1
"ANKRD44","ANKRD44","00000000001",1
"AREG","AREG","00000000001",1
"ARGLU1","ARGLU1","00000000001",1
"ARHGAP15","ARHGAP15","00000000001",1
"ARHGAP24","ARHGAP24","00000000001",1
"ARID5B","ARID5B","00000000001",1
"ATF7IP","ATF7IP","00000000001",1
"ATM","ATM","00000000001",1
"ATP2B1","ATP2B1","00000000001",1
"BANK1","BANK1","00000000001",1
"BCLAF1","BCLAF1","00000000001",1
"BLK","BLK","00000000001",1
"BRD2","BRD2","00000000001",1
"BTG2","BTG2","00000000001",1
"CCNH","CCNH","00000000001",1
"CCNL1","CCNL1","00000000001",1
"CCR7","CCR7","00000000001",1
"CD19","CD19","00000000001",1
"CD44","CD44","00000000001",1
"CD47","CD47","00000000001",1
"CDC37","CDC37","00000000001",1
"CELF2","CELF2","00000000001",1
"CEMIP2","CEMIP2","00000000001",1
"CHD2","CHD2","00000000001",1
"CLK1","CLK1","00000000001",1
"CYBB","CYBB","00000000001",1
"CYTIP","CYTIP","00000000001",1
"DDIT4","DDIT4","00000000001",1
"DDX17","DDX17","00000000001",1
"DDX21","DDX21","00000000001",1
"DDX3X","DDX3X","00000000001",1
"DDX5","DDX5","00000000001",1
"DDX6","DDX6","00000000001",1
"DNAJA1","DNAJA1","00000000001",1
"DOCK8","DOCK8","00000000001",1
"DUSP2","DUSP2","00000000001",1
"EIF4G2","EIF4G2","00000000001",1
"EIF5","EIF5","00000000001",1
"ELF1","ELF1","00000000001",1
"EML4","EML4","00000000001",1
"EPC1","EPC1","00000000001",1
"FAM129C","FAM129C","00000000001",1
"FNBP1","FNBP1","00000000001",1
"FNBP4","FNBP4","00000000001",1
"FUS","FUS","00000000001",1
"GPBP1","GPBP1","00000000001",1
"HCLS1","HCLS1","00000000001",1
"HLA-E","HLA-E","00000000001",1
"HLA-F","HLA-F","00000000001",1
"HNRNPDL","HNRNPDL","00000000001",1
"HNRNPU","HNRNPU","00000000001",1
"HSP90B1","HSP90B1","00000000001",1
"IDS","IDS","00000000001",1
"IFRD1","IFRD1","00000000001",1
"IGHM","IGHM","00000000001",1
"INPP5D","INPP5D","00000000001",1
"IQGAP1","IQGAP1","00000000001",1
"ITGA4","ITGA4","00000000001",1
"ITSN2","ITSN2","00000000001",1
"JAK1","JAK1","00000000001",1
"JMJD1C","JMJD1C","00000000001",1
"KDM6B","KDM6B","00000000001",1
"KIAA1551","KIAA1551","00000000001",1
"KMT2E","KMT2E","00000000001",1
"LDLRAD4","LDLRAD4","00000000001",1
"LUC7L3","LUC7L3","00000000001",1
"LY9","LY9","00000000001",1
"MAP3K8","MAP3K8","00000000001",1
"MARCH1","MARCH1","00000000001",1
"MBNL1","MBNL1","00000000001",1
"MEF2C","MEF2C","00000000001",1
"MGAT5","MGAT5","00000000001",1
"MT-ND5","MT-ND5","00000000001",1
"MT-ND6","MT-ND6","00000000001",1
"MYCBP2","MYCBP2","00000000001",1
"MYH9","MYH9","00000000001",1
"N4BP2L2","N4BP2L2","00000000001",1
"NCOA3","NCOA3","00000000001",1
"NFKBIZ","NFKBIZ","00000000001",1
"OGA","OGA","00000000001",1
"PARP15","PARP15","00000000001",1
"PDE4B","PDE4B","00000000001",1
"PLCG2","PLCG2","00000000001",1
"PNISR","PNISR","00000000001",1
"PNN","PNN","00000000001",1
"PPP1R10","PPP1R10","00000000001",1
"PRDM2","PRDM2","00000000001",1
"PRRC2C","PRRC2C","00000000001",1
"PTPN1","PTPN1","00000000001",1
"RALGPS2","RALGPS2","00000000001",1
"RANBP2","RANBP2","00000000001",1
"RASGEF1B","RASGEF1B","00000000001",1
"RBM25","RBM25","00000000001",1
"RBM39","RBM39","00000000001",1
"RBM6","RBM6","00000000001",1
"RBMX","RBMX","00000000001",1
"REL","REL","00000000001",1
"RIPOR2","RIPOR2","00000000001",1
"RNASET2","RNASET2","00000000001",1
"RSRP1","RSRP1","00000000001",1
"SAMSN1","SAMSN1","00000000001",1
"SCAF11","SCAF11","00000000001",1
"SF1","SF1","00000000001",1
"SF3B1","SF3B1","00000000001",1
"SFPQ","SFPQ","00000000001",1
"SKIL","SKIL","00000000001",1
"SMAP2","SMAP2","00000000001",1
"SMCHD1","SMCHD1","00000000001",1
"SNHG8","SNHG8","00000000001",1
"SON","SON","00000000001",1
"SP100","SP100","00000000001",1
"SP140","SP140","00000000001",1
"SQSTM1","SQSTM1","00000000001",1
"SRRM2","SRRM2","00000000001",1
"SRSF10","SRSF10","00000000001",1
"SRSF11","SRSF11","00000000001",1
"SRSF5","SRSF5","00000000001",1
"SRSF7","SRSF7","00000000001",1
"SSH2","SSH2","00000000001",1
"ST6GAL1","ST6GAL1","00000000001",1
"STAT3","STAT3","00000000001",1
"STK4","STK4","00000000001",1
"TAF1D","TAF1D","00000000001",1
"TAPBP","TAPBP","00000000001",1
"TCF25","TCF25","00000000001",1
"TCF4","TCF4","00000000001",1
"TMBIM6","TMBIM6","00000000001",1
"TMEM243","TMEM243","00000000001",1
"TNFRSF13C","TNFRSF13C","00000000001",1
"TNRC6B","TNRC6B","00000000001",1
"TRA2A","TRA2A","00000000001",1
"TRIM22","TRIM22","00000000001",1
"TSC22D3","TSC22D3","00000000001",1
"TUBA1A","TUBA1A","00000000001",1
"UBXN4","UBXN4","00000000001",1
"USP15","USP15","00000000001",1
"UVRAG","UVRAG","00000000001",1
"VCP","VCP","00000000001",1
"VPS13C","VPS13C","00000000001",1
"WIPF1","WIPF1","00000000001",1
"WSB1","WSB1","00000000001",1
"YME1L1","YME1L1","00000000001",1
"ZBTB20","ZBTB20","00000000001",1
"ZFAS1","ZFAS1","00000000001",1
"ZFP36L1","ZFP36L1","00000000001",1
"ZNF207","ZNF207","00000000001",1
"ZNF331","ZNF331","00000000001",1
"ATP5G3","ATP5G3","00000001000",1
"ATP5I","ATP5I","00000001000",1
"ATP5J2","ATP5J2","00000001000",1
"CALM3","CALM3","00000001000",1
"COTL1","COTL1","00000001000",1
"COX5A","COX5A","00000001000",1
"COX6A1","COX6A1","00000001000",1
"COX7A2","COX7A2","00000001000",1
"COX8A","COX8A","00000001000",1
"DEK","DEK","00000001000",1
"DUT","DUT","00000001000",1
"EIF4A1","EIF4A1","00000001000",1
"ENO1","ENO1","00000001000",1
"ERH","ERH","00000001000",1
"GSTP1","GSTP1","00000001000",1
"H2AFV","H2AFV","00000001000",1
"H2AFZ","H2AFZ","00000001000",1
"HIST1H4C","HIST1H4C","00000001000",1
"HMGA1","HMGA1","00000001000",1
"HMGB2","HMGB2","00000001000",1
"HN1","HN1","00000001000",1
"HNRNPF","HNRNPF","00000001000",1
"KIAA0101","KIAA0101","00000001000",1
"LDHA","LDHA","00000001000",1
"LDHB","LDHB","00000001000",1
"LSM5","LSM5","00000001000",1
"MIF","MIF","00000001000",1
"MRPL51","MRPL51","00000001000",1
"NAP1L1","NAP1L1","00000001000",1
"NUCKS1","NUCKS1","00000001000",1
"PARK7","PARK7","00000001000",1
"POLR2L","POLR2L","00000001000",1
"POMP","POMP","00000001000",1
"PPP1CA","PPP1CA","00000001000",1
"PSMA4","PSMA4","00000001000",1
"PSMA7","PSMA7","00000001000",1
"PSMB3","PSMB3","00000001000",1
"PSME2","PSME2","00000001000",1
"PTGES3","PTGES3","00000001000",1
"PTMA","PTMA","00000001000",1
"PTTG1","PTTG1","00000001000",1
"RANBP1","RANBP1","00000001000",1
"RBX1","RBX1","00000001000",1
"RPA3","RPA3","00000001000",1
"RPS27L","RPS27L","00000001000",1
"SEC61G","SEC61G","00000001000",1
"SLC25A3","SLC25A3","00000001000",1
"SNRPB","SNRPB","00000001000",1
"SNRPD1","SNRPD1","00000001000",1
"SNRPG","SNRPG","00000001000",1
"STMN1","STMN1","00000001000",1
"SUMO2","SUMO2","00000001000",1
"TCEB2","TCEB2","00000001000",1
"TMEM258","TMEM258","00000001000",1
"TPI1","TPI1","00000001000",1
"TUBA1B","TUBA1B","00000001000",1
"TUBB","TUBB","00000001000",1
"TUBB4B","TUBB4B","00000001000",1
"UBE2C","UBE2C","00000001000",1
"UBL5","UBL5","00000001000",1
"UQCR10","UQCR10","00000001000",1
"UQCRQ","UQCRQ","00000001000",1
"YWHAQ","YWHAQ","00000001000",1
"ATP5G2","ATP5G2","00000000100",1
"COX7C","COX7C","00000000100",1
"EIF3E","EIF3E","00000000100",1
"OST4","OST4","00000000100",1
"RPL14","RPL14","00000000100",1
"RPL19","RPL19","00000000100",1
"RPL22","RPL22","00000000100",1
"RPL23","RPL23","00000000100",1
"RPL23A","RPL23A","00000000100",1
"RPL24","RPL24","00000000100",1
"RPL27","RPL27","00000000100",1
"RPL27A","RPL27A","00000000100",1
"RPL28","RPL28","00000000100",1
"RPL35A","RPL35A","00000000100",1
"RPL36","RPL36","00000000100",1
"RPL36A","RPL36A","00000000100",1
"RPL37","RPL37","00000000100",1
"RPL37A","RPL37A","00000000100",1
"RPL38","RPL38","00000000100",1
"RPL5","RPL5","00000000100",1
"RPL6","RPL6","00000000100",1
"RPL7A","RPL7A","00000000100",1
"RPLP1","RPLP1","00000000100",1
"RPS11","RPS11","00000000100",1
"RPS13","RPS13","00000000100",1
"RPS14","RPS14","00000000100",1
"RPS15","RPS15","00000000100",1
"RPS15A","RPS15A","00000000100",1
"RPS2","RPS2","00000000100",1
"RPS20","RPS20","00000000100",1
"RPS24","RPS24","00000000100",1
"RPS25","RPS25","00000000100",1
"RPS28","RPS28","00000000100",1
"RPS29","RPS29","00000000100",1
"RPS4X","RPS4X","00000000100",1
"RPS7","RPS7","00000000100",1
"SH3BGRL3","SH3BGRL3","00000000100",1
"UBA52","UBA52","00000000100",1
"UQCRB","UQCRB","00000000100",1
"ALOX5AP","ALOX5AP","00000000010",1
"ATP6V1G1","ATP6V1G1","00000000010",1
"BASP1","BASP1","00000000010",1
"BRK1","BRK1","00000000010",1
"BTF3","BTF3","00000000010",1
"CAP1","CAP1","00000000010",1
"CCDC144A","CCDC144A","00000000010",1
"CCNI","CCNI","00000000010",1
"CD40","CD40","00000000010",1
"CD74","CD74","00000000010",1
"CD79A","CD79A","00000000010",1
"CIRBP","CIRBP","00000000010",1
"EIF3H","EIF3H","00000000010",1
"FCRLA","FCRLA","00000000010",1
"GDI2","GDI2","00000000010",1
"HLA-DQB1","HLA-DQB1","00000000010",1
"HLA-DRA","HLA-DRA","00000000010",1
"HLA-DRB1","HLA-DRB1","00000000010",1
"LCP1","LCP1","00000000010",1
"LRMP","LRMP","00000000010",1
"MARCKSL1","MARCKSL1","00000000010",1
"METAP2","METAP2","00000000010",1
"MYL12A","MYL12A","00000000010",1
"PABPC1","PABPC1","00000000010",1
"PARP1","PARP1","00000000010",1
"PTPRCAP","PTPRCAP","00000000010",1
"SEC62","SEC62","00000000010",1
"SELT","SELT","00000000010",1
"SERPINA9","SERPINA9","00000000010",1
"SNX3","SNX3","00000000010",1
"SPCS2","SPCS2","00000000010",1
"SYPL1","SYPL1","00000000010",1
"TMEM123","TMEM123","00000000010",1
"UBE2J1","UBE2J1","00000000010",1
"UCP2","UCP2","00000000010",1
"VPREB3","VPREB3","00000000010",1
"RPL10","RPL10","01000000100",2
"RPL10A","RPL10A","01000000100",2
"RPL11","RPL11","01000000100",2
"RPL12","RPL12","01000000100",2
"RPL13","RPL13","01000000100",2
"RPL13A","RPL13A","01000000100",2
"RPL15","RPL15","01000000100",2
"RPL18A","RPL18A","01000000100",2
"RPL21","RPL21","01000000100",2
"RPL26","RPL26","01000000100",2
"RPL29","RPL29","01000000100",2
"RPL3","RPL3","01000000100",2
"RPL31","RPL31","01000000100",2
"RPL32","RPL32","01000000100",2
"RPL35","RPL35","01000000100",2
"RPL39","RPL39","01000000100",2
"RPL41","RPL41","01000000100",2
"RPL7","RPL7","01000000100",2
"RPS10","RPS10","01000000100",2
"RPS12","RPS12","01000000100",2
"RPS18","RPS18","01000000100",2
"RPS19","RPS19","01000000100",2
"RPS23","RPS23","01000000100",2
