"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"RPL32",1.79696537804264e-283,1.26172525065011,0.868,0.469,3.0932962017626e-279,"1","RPL32"
"RPS6",1.49347359445545e-263,1.3421990269099,0.807,0.427,2.57086544549561e-259,"1","RPS6"
"RPL12",1.31070524175074e-258,1.42421160790582,0.715,0.317,2.25624800314972e-254,"1","RPL12"
"RPL26",1.58834649329595e-258,1.27090505133993,0.789,0.395,2.73417965355965e-254,"1","RPL26"
"RPS3A",1.9267715647154e-257,1.35167146260611,0.734,0.334,3.31674457150108e-253,"1","RPS3A"
"RPLP0",7.06067433919896e-256,1.68093841652273,0.572,0.187,1.21542448074971e-251,"1","RPLP0"
"RPS12",8.90353852259872e-252,1.20654982143776,0.806,0.43,1.53265512128014e-247,"1","RPS12"
"RPS2",1.37398901868021e-246,1.42145446879802,0.731,0.351,2.36518469675611e-242,"1","RPS2"
"RPS4X",5.33853810906405e-243,1.31972078220217,0.746,0.367,9.18975950094286e-239,"1","RPS4X"
"RPS3",3.61697211273717e-242,1.32102814164195,0.72,0.335,6.22625579486577e-238,"1","RPS3"
"RPLP1",4.53860261662278e-238,1.06936070839598,0.888,0.538,7.81275054425445e-234,"1","RPLP1"
"RPS23",1.56503845430771e-235,1.20598220264444,0.762,0.38,2.69405719524529e-231,"1","RPS23"
"RPS18",6.71796365230309e-229,1.21114793863282,0.841,0.511,1.15643026310745e-224,"1","RPS18"
"RPL18A",3.90864662897491e-211,1.20356895848637,0.728,0.375,6.7283443071174e-207,"1","RPL18A"
"RPS8",4.80272469663108e-209,1.09244445743086,0.779,0.427,8.26741029278074e-205,"1","RPS8"
"RPL10",5.47243439866032e-207,1.02420050285443,0.924,0.61,9.42024857385388e-203,"1","RPL10"
"RPL13",4.00771300723547e-206,1.08312352329767,0.838,0.524,6.89887717065514e-202,"1","RPL13"
"RPL39",1.19192712592589e-205,1.23766640642219,0.729,0.379,2.05178335456883e-201,"1","RPL39"
"RPL3",5.86098377939618e-203,1.21789535514577,0.743,0.41,1.00890974778526e-198,"1","RPL3"
"RPS14",4.07332320229891e-200,1.04744899427222,0.81,0.465,7.01181856043734e-196,"1","RPS14"
"RPS15A",9.51290472272302e-199,1.12148384714478,0.759,0.414,1.63755141896954e-194,"1","RPS15A"
"RPL37",3.13257666628466e-186,1.31346739051596,0.597,0.264,5.39241747334241e-182,"1","RPL37"
"RPL7A",6.92075339793944e-186,1.31866842204745,0.58,0.246,1.1913384899213e-181,"1","RPL7A"
"RPL19",8.07301591637791e-181,1.05345153202144,0.719,0.386,1.38968895984529e-176,"1","RPL19"
"RPL30",1.4635154681692e-180,1.21417074827672,0.615,0.28,2.51929552690646e-176,"1","RPL30"
"RPS19",9.69968189067741e-179,1.08408061948149,0.754,0.44,1.66970324066121e-174,"1","RPS19"
"RPS13",2.78105084587004e-176,1.13690979195705,0.655,0.322,4.78730092608068e-172,"1","RPS13"
"RPL28",4.49687999413023e-175,1.09017298678998,0.706,0.385,7.74092922189577e-171,"1","RPL28"
"RPL10A",5.79699743708956e-175,1.42514836323626,0.539,0.227,9.97895138820596e-171,"1","RPL10A"
"RPS24",3.75095674076416e-174,1.1885812016519,0.642,0.315,6.45689693355143e-170,"1","RPS24"
"RPL11",1.24640397403828e-172,1.03479768584411,0.731,0.412,2.1455598009095e-168,"1","RPL11"
"RPL15",1.60613808289571e-171,1.07135947391698,0.722,0.404,2.76480609589668e-167,"1","RPL15"
"RPS27A",2.10871378661627e-170,0.962937779502051,0.779,0.464,3.62993991228124e-166,"1","RPS27A"
"RPL5",1.04426731842189e-169,1.41926300369543,0.509,0.201,1.79760176193145e-165,"1","RPL5"
"RPS7",2.08294167486294e-166,1.20398608278379,0.592,0.274,3.58557579910907e-162,"1","RPS7"
"RPS5",5.13852172624785e-166,1.33229797236928,0.542,0.232,8.84545129956305e-162,"1","RPS5"
"RPL29",5.92157439535746e-165,1.16877623518242,0.609,0.29,1.01933981641683e-160,"1","RPL29"
"RPL6",1.53714349047332e-164,1.27035710555083,0.572,0.261,2.64603880450078e-160,"1","RPL6"
"RPL34",2.04810980862807e-164,0.986581375605699,0.826,0.543,3.52561622457235e-160,"1","RPL34"
"EEF1A1",2.08614522490519e-160,0.866189106362617,0.878,0.585,3.59109039015179e-156,"1","EEF1A1"
"RPL35A",9.84592344776117e-157,1.05903845519905,0.668,0.359,1.69487726229761e-152,"1","RPL35A"
"RPL8",2.76588164555475e-142,0.982499757055474,0.673,0.381,4.76118866465794e-138,"1","RPL8"
"TPT1",1.58541460373084e-136,0.906342631923529,0.705,0.415,2.72913269886226e-132,"1","TPT1"
"NPC2",3.48788464123639e-131,1.92066524561721,0.34,0.112,6.00404462142432e-127,"1","NPC2"
"RPL18",4.51595017760708e-125,1.05511751470354,0.566,0.295,7.77375663573282e-121,"1","RPL18"
"RPS9",7.0038141503713e-121,1.00470664424274,0.606,0.341,1.20563656784492e-116,"1","RPS9"
"RPL7",6.61752523470476e-115,1.10674097701841,0.567,0.316,1.13914079390208e-110,"1","RPL7"
"RPL24",2.11851821556107e-114,1.13775685715664,0.477,0.225,3.64681725626683e-110,"1","RPL24"
"RPL17",1.43549675587027e-101,1.52984872431796,0.299,0.103,2.47106411555508e-97,"1","RPL17"
"RPL14",1.09491158155987e-100,1.14479358832338,0.429,0.198,1.88478079649717e-96,"1","RPL14"
"NACA",6.46836071278263e-97,1.15352588285503,0.404,0.182,1.1134636130984e-92,"1","NACA"
"RPL41",2.37871106515325e-95,0.954387769092604,0.696,0.556,4.09471322755481e-91,"1","RPL41"
"RPS15",1.13662827684328e-93,0.774733142751978,0.695,0.477,1.95659191575802e-89,"1","RPS15"
"RPL23A",9.02729099138145e-93,1.00860900857567,0.523,0.298,1.5539578712564e-88,"1","RPL23A"
"GAPDH",7.65386479676358e-87,0.835645449782554,0.562,0.324,1.31753628611488e-82,"1","GAPDH"
"RPS25",3.02575316320218e-84,0.860728338489851,0.564,0.34,5.20853149513623e-80,"1","RPS25"
"RPL9",9.56700410263653e-83,0.960226964215417,0.487,0.273,1.64686408622785e-78,"1","RPL9"
"RPL13A",1.80843427984452e-82,0.939926888186493,0.615,0.447,3.11303876932436e-78,"1","RPL13A"
"RPS28",1.71819700338289e-80,0.676831656765731,0.828,0.642,2.95770432162331e-76,"1","RPS28"
"RPL36",9.86577739933479e-79,0.765863518819484,0.617,0.405,1.69829492152149e-74,"1","RPL36"
"RPLP2",2.70746746274095e-75,0.784397576538393,0.62,0.422,4.66063449036227e-71,"1","RPLP2"
"RPL21",1.37606129565299e-71,0.839603279934714,0.609,0.43,2.36875191433706e-67,"1","RPL21"
"RPL37A",1.37616144509821e-70,0.817915430024827,0.531,0.331,2.36892431159205e-66,"1","RPL37A"
"RPL31",5.23706623773854e-70,1.02943252214272,0.429,0.243,9.01508582164312e-66,"1","RPL31"
"RPS27",1.50357188933894e-69,0.768913511307739,0.722,0.56,2.58824865030804e-65,"1","RPS27"
"RPS16",2.49848496172396e-69,0.81117634126082,0.494,0.292,4.30089201311162e-65,"1","RPS16"
"RPSA",3.70377378015519e-66,1.28407224282764,0.273,0.117,6.37567618515915e-62,"1","RPSA"
