"","genes","code","num_overlap"
"ATP5E","ATP5E","000010",1
"ATP5J","ATP5J","000010",1
"CARD16","CARD16","000010",1
"CD63","CD63","000010",1
"CHCHD2","CHCHD2","000010",1
"COX5B","COX5B","000010",1
"COX6C","COX6C","000010",1
"COX7A2","COX7A2","000010",1
"COX7C","COX7C","000010",1
"DYNLL1","DYNLL1","000010",1
"EID1","EID1","000010",1
"FABP5","FABP5","000010",1
"FAM167B","FAM167B","000010",1
"FKBP1A","FKBP1A","000010",1
"GABARAPL2","GABARAPL2","000010",1
"GPX1","GPX1","000010",1
"GSTP1","GSTP1","000010",1
"H2AFZ","H2AFZ","000010",1
"HINT1","HINT1","000010",1
"HMGB1","HMGB1","000010",1
"ID2","ID2","000010",1
"IGFBP7","IGFBP7","000010",1
"INSR","INSR","000010",1
"LAPTM4A","LAPTM4A","000010",1
"LGALS1","LGALS1","000010",1
"MGP","MGP","000010",1
"MYL12A","MYL12A","000010",1
"MYL6","MYL6","000010",1
"NDUFA12","NDUFA12","000010",1
"NDUFA4","NDUFA4","000010",1
"NDUFB1","NDUFB1","000010",1
"NDUFB2","NDUFB2","000010",1
"NOP10","NOP10","000010",1
"PFN1","PFN1","000010",1
"POLR2L","POLR2L","000010",1
"PPAP2B","PPAP2B","000010",1
"PRDX1","PRDX1","000010",1
"PSMA7","PSMA7","000010",1
"RBX1","RBX1","000010",1
"RPS27L","RPS27L","000010",1
"S100A11","S100A11","000010",1
"S100A13","S100A13","000010",1
"SEC62","SEC62","000010",1
"SEPW1","SEPW1","000010",1
"SERF2","SERF2","000010",1
"SHFM1","SHFM1","000010",1
"SLCO2A1","SLCO2A1","000010",1
"SNX3","SNX3","000010",1
"SPARCL1","SPARCL1","000010",1
"SUMO2","SUMO2","000010",1
"TCEB2","TCEB2","000010",1
"TMA7","TMA7","000010",1
"TMSB4X","TMSB4X","000010",1
"TUBA1B","TUBA1B","000010",1
"TXN","TXN","000010",1
"UBB","UBB","000010",1
"UBL5","UBL5","000010",1
"UQCRB","UQCRB","000010",1
"UQCRQ","UQCRQ","000010",1
"USMG5","USMG5","000010",1
"CST3","CST3","100000",1
"EEF1A1","EEF1A1","100000",1
"EEF2","EEF2","100000",1
"FAU","FAU","100000",1
"GAPDH","GAPDH","100000",1
"NACA","NACA","100000",1
"PFDN5","PFDN5","100000",1
"PPIA","PPIA","100000",1
"RPL10A","RPL10A","100000",1
"RPL11","RPL11","100000",1
"RPL12","RPL12","100000",1
"RPL14","RPL14","100000",1
"RPL17","RPL17","100000",1
"RPL19","RPL19","100000",1
"RPL21","RPL21","100000",1
"RPL22","RPL22","100000",1
"RPL24","RPL24","100000",1
"RPL26","RPL26","100000",1
"RPL27","RPL27","100000",1
"RPL28","RPL28","100000",1
"RPL29","RPL29","100000",1
"RPL30","RPL30","100000",1
"RPL31","RPL31","100000",1
"RPL32","RPL32","100000",1
"RPL35A","RPL35A","100000",1
"RPL36","RPL36","100000",1
"RPL37","RPL37","100000",1
"RPL37A","RPL37A","100000",1
"RPL38","RPL38","100000",1
"RPL4","RPL4","100000",1
"RPL5","RPL5","100000",1
"RPL6","RPL6","100000",1
"RPL7","RPL7","100000",1
"RPL7A","RPL7A","100000",1
"RPL9","RPL9","100000",1
"RPLP2","RPLP2","100000",1
"RPS11","RPS11","100000",1
"RPS12","RPS12","100000",1
"RPS13","RPS13","100000",1
"RPS16","RPS16","100000",1
"RPS21","RPS21","100000",1
"RPS23","RPS23","100000",1
"RPS24","RPS24","100000",1
"RPS25","RPS25","100000",1
"RPS27","RPS27","100000",1
"RPS3","RPS3","100000",1
"RPS3A","RPS3A","100000",1
"RPS6","RPS6","100000",1
"RPS7","RPS7","100000",1
"RPS8","RPS8","100000",1
"RPS9","RPS9","100000",1
"RPSA","RPSA","100000",1
"S100A10","S100A10","100000",1
"TIMP1","TIMP1","100000",1
"TPT1","TPT1","100000",1
"AL928768.3","AL928768.3","000001",1
"BTG2","BTG2","000001",1
"C19orf10","C19orf10","000001",1
"CD79A","CD79A","000001",1
"CIRBP","CIRBP","000001",1
"CITED2","CITED2","000001",1
"COPE","COPE","000001",1
"CYBA","CYBA","000001",1
"DERL3","DERL3","000001",1
"DNAJB1","DNAJB1","000001",1
"DNAJB9","DNAJB9","000001",1
"DUSP1","DUSP1","000001",1
"EEF1D","EEF1D","000001",1
"FKBP11","FKBP11","000001",1
"FKBP2","FKBP2","000001",1
"HERPUD1","HERPUD1","000001",1
"HSPA1B","HSPA1B","000001",1
"IGJ","IGJ","000001",1
"IGLL5","IGLL5","000001",1
"ISG20","ISG20","000001",1
"ITM2C","ITM2C","000001",1
"JUNB","JUNB","000001",1
"LINC00152","LINC00152","000001",1
"MCL1","MCL1","000001",1
"MZB1","MZB1","000001",1
"NFKBIA","NFKBIA","000001",1
"OAZ1","OAZ1","000001",1
"PDIA6","PDIA6","000001",1
"PIM2","PIM2","000001",1
"PPIB","PPIB","000001",1
"PPP1R15A","PPP1R15A","000001",1
"RGS1","RGS1","000001",1
"RPL36AL","RPL36AL","000001",1
"SDF2L1","SDF2L1","000001",1
"SEC11C","SEC11C","000001",1
"SEC61B","SEC61B","000001",1
"SELK","SELK","000001",1
"SERP1","SERP1","000001",1
"SLC25A6","SLC25A6","000001",1
"SPCS1","SPCS1","000001",1
"SPCS2","SPCS2","000001",1
"SSR3","SSR3","000001",1
"SSR4","SSR4","000001",1
"SUB1","SUB1","000001",1
"TNFRSF17","TNFRSF17","000001",1
"TSC22D3","TSC22D3","000001",1
"UBC","UBC","000001",1
"XBP1","XBP1","000001",1
"ZFP36","ZFP36","000001",1
"ATP1B3","ATP1B3","000100",1
"BST2","BST2","000100",1
"CAPZA2","CAPZA2","000100",1
"CD59","CD59","000100",1
"CD9","CD9","000100",1
"CLDN5","CLDN5","000100",1
"CLEC14A","CLEC14A","000100",1
"CRIP2","CRIP2","000100",1
"CXCL12","CXCL12","000100",1
"EPAS1","EPAS1","000100",1
"GIMAP4","GIMAP4","000100",1
"GIMAP7","GIMAP7","000100",1
"HLA-B","HLA-B","000100",1
"HLA-C","HLA-C","000100",1
"HSPB1","HSPB1","000100",1
"ICAM2","ICAM2","000100",1
"ID1","ID1","000100",1
"IFI27","IFI27","000100",1
"IFI6","IFI6","000100",1
"IFITM1","IFITM1","000100",1
"IFITM2","IFITM2","000100",1
"IFITM3","IFITM3","000100",1
"KLF2","KLF2","000100",1
"PODXL","PODXL","000100",1
"RAC1","RAC1","000100",1
"RAMP2","RAMP2","000100",1
"RHOA","RHOA","000100",1
"RHOB","RHOB","000100",1
"RHOC","RHOC","000100",1
"S100A6","S100A6","000100",1
"SAT1","SAT1","000100",1
"SLC9A3R2","SLC9A3R2","000100",1
"SRGN","SRGN","000100",1
"STMN1","STMN1","000100",1
"STOM","STOM","000100",1
"TAGLN2","TAGLN2","000100",1
"TM4SF1","TM4SF1","000100",1
"GNB2L1","GNB2L1","100001",2
"RPL10","RPL10","100001",2
"RPL13","RPL13","100001",2
"RPL13A","RPL13A","100001",2
"RPL15","RPL15","100001",2
"RPL18","RPL18","100001",2
"RPL18A","RPL18A","100001",2
"RPL23A","RPL23A","100001",2
"RPL3","RPL3","100001",2
"RPL35","RPL35","100001",2
"RPL41","RPL41","100001",2
"RPL8","RPL8","100001",2
"RPLP0","RPLP0","100001",2
"RPLP1","RPLP1","100001",2
"RPS15","RPS15","100001",2
"RPS15A","RPS15A","100001",2
"RPS18","RPS18","100001",2
"RPS19","RPS19","100001",2
"RPS2","RPS2","100001",2
"RPS4X","RPS4X","100001",2
"RPS5","RPS5","100001",2
"CCDC85B","CCDC85B","001000",1
"DDX5","DDX5","001000",1
"EGFL7","EGFL7","001000",1
"HSPA1A","HSPA1A","001000",1
"HSPG2","HSPG2","001000",1
"LMNA","LMNA","001000",1
"MT-ATP8","MT-ATP8","001000",1
"MT-CO3","MT-CO3","001000",1
"MT-ND1","MT-ND1","001000",1
"MT-ND3","MT-ND3","001000",1
"MT-ND4L","MT-ND4L","001000",1
"MT-ND5","MT-ND5","001000",1
"NEAT1","NEAT1","001000",1
"SON","SON","001000",1
"SPTBN1","SPTBN1","001000",1
"TCF4","TCF4","001000",1
"ZFP36L1","ZFP36L1","001000",1
"B2M","B2M","000110",2
"CALM1","CALM1","000110",2
"CALM2","CALM2","000110",2
"CAV1","CAV1","000110",2
"DSTN","DSTN","000110",2
"H3F3A","H3F3A","000110",2
"MYL12B","MYL12B","000110",2
"POMP","POMP","000110",2
"PPA1","PPA1","000110",2
"PPAP2A","PPAP2A","000110",2
"SKP1","SKP1","000110",2
"SRP14","SRP14","000110",2
"TMSB10","TMSB10","000110",2
"ADIRF","ADIRF","100010",2
"BTF3","BTF3","100010",2
"NPC2","NPC2","100010",2
"RPL23","RPL23","100010",2
"RPL34","RPL34","100010",2
"RPS20","RPS20","100010",2
"RPS27A","RPS27A","100010",2
"RPS28","RPS28","100010",2
"UBA52","UBA52","100010",2
"CD36","CD36","010010",2
"GNG11","GNG11","010010",2
"ITM2B","ITM2B","010010",2
"PLVAP","PLVAP","010010",2
"PRSS23","PRSS23","010010",2
"RAMP3","RAMP3","010010",2
"RGCC","RGCC","010010",2
"SPARC","SPARC","010010",2
"VAMP5","VAMP5","010010",2
"FOS","FOS","001001",2
"FOSB","FOSB","001001",2
"IER2","IER2","001001",2
"JUN","JUN","001001",2
"MALAT1","MALAT1","001001",2
"MT-CO1","MT-CO1","001001",2
"MT-CYB","MT-CYB","001001",2
"MT-ND2","MT-ND2","001001",2
"MT-ND4","MT-ND4","001001",2
"COL15A1","COL15A1","001010",2
"COL4A1","COL4A1","001010",2
"COL4A2","COL4A2","001010",2
"ENG","ENG","001010",2
"MT-ATP6","MT-ATP6","001010",2
"TGFBR2","TGFBR2","001010",2
"VWF","VWF","001010",2
"ATP5L","ATP5L","000011",2
"FTL","FTL","000011",2
"HSP90B1","HSP90B1","000011",2
"OST4","OST4","000011",2
"SEC61G","SEC61G","000011",2
"TMEM258","TMEM258","000011",2
"TMEM59","TMEM59","000011",2
"APP","APP","010000",1
"GSN","GSN","010000",1
"IGFBP4","IGFBP4","010000",1
"ITM2A","ITM2A","010000",1
"TSC22D1","TSC22D1","010000",1
"RPL27A","RPL27A","100011",3
"RPL39","RPL39","100011",3
"RPS14","RPS14","100011",3
"RPS29","RPS29","100011",3
"HSP90AA1","HSP90AA1","001011",3
"MT-CO2","MT-CO2","001011",3
"A2M","A2M","010100",2
"TXNIP","TXNIP","010100",2
"CD320","CD320","010110",3
"TIMP3","TIMP3","001100",2
