"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"RP11-1143G9.4",0,4.17874827180254,0.691,0.107,0,"1","RP11-1143G9.4"
"REG3A",0,4.7735401883107,0.668,0.119,0,"1","REG3A"
"REG1A",0,3.27796318225851,0.841,0.312,0,"1","REG1A"
"LTF",0,3.99606700797244,0.621,0.106,0,"1","LTF"
"ZG16B",0,3.47749234930844,0.555,0.101,0,"1","ZG16B"
"BPIFB1",0,4.23113298869868,0.551,0.107,0,"1","BPIFB1"
"GNB2L1",0,1.32602008091234,0.787,0.348,0,"1","GNB2L1"
"MUC6",0,3.61974620215538,0.575,0.142,0,"1","MUC6"
"CLU",0,2.24393959996963,0.63,0.206,0,"1","CLU"
"PGC",0,2.80818136786593,0.897,0.514,0,"1","PGC"
"LYZ",0,3.59219289984063,0.95,0.571,0,"1","LYZ"
"CD74",0,1.56437085485924,0.844,0.478,0,"1","CD74"
"PIGR",0,1.7740211776113,0.825,0.474,0,"1","PIGR"
"FAM3D",0,2.13173221596916,0.509,0.162,0,"1","FAM3D"
"LCN2",0,2.10500657751862,0.698,0.362,0,"1","LCN2"
"HLA-DRA",0,1.40325617580583,0.607,0.274,0,"1","HLA-DRA"
"CXCL17",0,1.42324009987739,0.623,0.304,0,"1","CXCL17"
"HLA-DRB1",0,1.47222525077524,0.558,0.242,0,"1","HLA-DRB1"
"ATP5G2",0,1.1137270292112,0.548,0.244,0,"1","ATP5G2"
"MIA",0,2.75665857392031,0.368,0.074,0,"1","MIA"
"C6orf58",0,3.93878259160741,0.327,0.051,0,"1","C6orf58"
"RPS20",0,0.737157066532894,0.819,0.544,0,"1","RPS20"
"GOLM1",0,1.5650157929118,0.469,0.195,0,"1","GOLM1"
"RPS10",0,0.822486315730792,0.706,0.439,0,"1","RPS10"
"RPL23",0,0.879469769386773,0.717,0.453,0,"1","RPL23"
"AQP5",0,2.55752398556191,0.335,0.076,0,"1","AQP5"
"SPINK1",0,1.18851931608038,0.795,0.546,0,"1","SPINK1"
"PRR4",0,5.2881323394706,0.261,0.014,0,"1","PRR4"
"AGR2",0,0.698219959024131,0.909,0.667,0,"1","AGR2"
"RPL27A",0,0.800723050897077,0.957,0.724,0,"1","RPL27A"
"RPL7",0,0.924172858963474,0.951,0.719,0,"1","RPL7"
"RPS29",0,0.709193087142368,0.906,0.686,0,"1","RPS29"
"HLA-DPB1",0,1.61776742624612,0.336,0.117,0,"1","HLA-DPB1"
"CST3",0,1.03375343691516,0.793,0.577,0,"1","CST3"
"WFDC2",0,1.53628720945099,0.362,0.148,0,"1","WFDC2"
"RPL31",0,0.908833269402505,0.913,0.704,0,"1","RPL31"
"MSMB",0,2.75145013349952,0.402,0.193,0,"1","MSMB"
"SLC12A2",0,1.53230198632287,0.328,0.122,0,"1","SLC12A2"
"GLUL",0,0.961848760759955,0.44,0.235,0,"1","GLUL"
"RPL10A",0,0.925873198577148,0.892,0.691,0,"1","RPL10A"
"TCEB2",0,0.549665476052518,0.494,0.296,0,"1","TCEB2"
"RPL15",0,1.01017469536268,0.963,0.766,0,"1","RPL15"
"CD59",0,0.952257229797328,0.393,0.197,0,"1","CD59"
"ADIRF",0,0.510118593376812,0.413,0.225,0,"1","ADIRF"
"RPL21",0,0.861477945529863,0.974,0.786,0,"1","RPL21"
"GLTSCR2",0,1.62618874429879,0.268,0.084,0,"1","GLTSCR2"
"SLC25A6",0,0.707001652486736,0.644,0.465,0,"1","SLC25A6"
"RPS4X",0,1.07477325292567,0.955,0.778,0,"1","RPS4X"
"EEF1D",0,0.53478130007315,0.717,0.54,0,"1","EEF1D"
"ATP6V1G1",0,0.808013450625895,0.454,0.279,0,"1","ATP6V1G1"
"RPL6",0,0.699668092422176,0.855,0.68,0,"1","RPL6"
"RPS6",0,1.08466369355297,0.983,0.813,0,"1","RPS6"
"RPS3A",0,0.826780782436176,0.953,0.786,0,"1","RPS3A"
"RPL5",0,0.645325101402371,0.769,0.604,0,"1","RPL5"
"HLA-DRB5",0,1.33367051974138,0.277,0.116,0,"1","HLA-DRB5"
"RPL9",0,0.632177125809042,0.85,0.692,0,"1","RPL9"
"RPL26",0,0.827365303298335,0.959,0.801,0,"1","RPL26"
"RPL3",0,1.03982716822619,0.973,0.823,0,"1","RPL3"
"FTL",0,0.665933264969905,0.95,0.801,0,"1","FTL"
"RPS13",0,0.64560906736555,0.91,0.762,0,"1","RPS13"
"RPS7",0,0.619361874653147,0.826,0.678,0,"1","RPS7"
"RPL13A",0,1.01831415378845,0.996,0.852,0,"1","RPL13A"
"RPS5",0,0.66642878629729,0.856,0.712,0,"1","RPS5"
"RPS9",0,0.775086960103593,0.939,0.797,0,"1","RPS9"
"RPS27A",0,0.761456292705568,0.971,0.83,0,"1","RPS27A"
"IFI6",0,1.04233864206585,0.26,0.122,0,"1","IFI6"
"RPS16",0,0.520085515368439,0.864,0.727,0,"1","RPS16"
"RPS14",0,0.997073077680102,0.989,0.854,0,"1","RPS14"
"RPL39",0,0.979409771169182,0.978,0.843,0,"1","RPL39"
"RPS28",0,0.91966016347847,0.984,0.849,0,"1","RPS28"
"RPL18A",0,0.760446001975178,0.98,0.846,0,"1","RPL18A"
"RPS15A",0,0.773011349146371,0.952,0.819,0,"1","RPS15A"
"RPL37A",0,0.583392790205591,0.924,0.792,0,"1","RPL37A"
"RPL34",0,1.16775409352755,0.995,0.864,0,"1","RPL34"
"RPL35A",0,0.669164501913844,0.932,0.805,0,"1","RPL35A"
"RPL23A",0,0.590734431447154,0.877,0.75,0,"1","RPL23A"
"RPL36",0,0.792258854679551,0.97,0.844,0,"1","RPL36"
"RPL41",0,0.967269669404994,0.999,0.875,0,"1","RPL41"
"RPL32",0,0.805603902420752,0.978,0.858,0,"1","RPL32"
"RPS25",0,0.53660094547969,0.86,0.74,0,"1","RPS25"
"RPS19",0,0.911318099097232,0.978,0.86,0,"1","RPS19"
"RPL11",0,0.84742230859343,0.973,0.858,0,"1","RPL11"
"TPT1",0,0.665687980198713,0.928,0.815,0,"1","TPT1"
"RPL37",0,0.521322418056971,0.878,0.766,0,"1","RPL37"
"RPL12",0,0.874163465285342,0.962,0.85,0,"1","RPL12"
"RPS2",0,0.850349530712408,0.944,0.835,0,"1","RPS2"
"RPLP2",0,0.500099880937082,0.932,0.824,0,"1","RPLP2"
"RPS18",0,1.05586302441576,0.995,0.888,0,"1","RPS18"
"RPL19",0,0.594053315385114,0.931,0.825,0,"1","RPL19"
"RPS27",0,1.05707266315097,0.997,0.893,0,"1","RPS27"
"RPL18",0,0.579385012341518,0.893,0.789,0,"1","RPL18"
"RPL8",0,0.56461887187115,0.948,0.846,0,"1","RPL8"
"RPS8",0,0.751943879747627,0.931,0.83,0,"1","RPS8"
"RPS12",0,0.722954585717453,0.972,0.872,0,"1","RPS12"
"RPS15",0,0.65183097233279,0.974,0.876,0,"1","RPS15"
"EEF1A1",0,0.879954616712993,0.983,0.886,0,"1","EEF1A1"
"RPL10",0,1.07130671911137,0.996,0.9,0,"1","RPL10"
"RPS3",0,0.630883041279268,0.922,0.828,0,"1","RPS3"
"RPL13",0,1.18763330439428,0.997,0.904,0,"1","RPL13"
"RPLP1",0,0.750067412988776,0.989,0.897,0,"1","RPLP1"
"RPL29",0,0.529153152799434,0.872,0.783,0,"1","RPL29"
"MT-ND3",0,0.861465763774306,0.874,0.817,0,"1","MT-ND3"
