"","genes","code","num_overlap"
"AADAC","AADAC","0000000000000100",1
"ACAA1","ACAA1","0000000000000100",1
"ACE2","ACE2","0000000000000100",1
"ACSL5","ACSL5","0000000000000100",1
"ACY3","ACY3","0000000000000100",1
"AGPAT2","AGPAT2","0000000000000100",1
"ALDOB","ALDOB","0000000000000100",1
"ALPI","ALPI","0000000000000100",1
"AMN","AMN","0000000000000100",1
"ANPEP","ANPEP","0000000000000100",1
"AOC1","AOC1","0000000000000100",1
"APOA1","APOA1","0000000000000100",1
"APOA4","APOA4","0000000000000100",1
"APOB","APOB","0000000000000100",1
"APOC3","APOC3","0000000000000100",1
"ARL14","ARL14","0000000000000100",1
"ATOX1","ATOX1","0000000000000100",1
"BLOC1S1","BLOC1S1","0000000000000100",1
"C11orf86","C11orf86","0000000000000100",1
"CALM3","CALM3","0000000000000100",1
"CBR1","CBR1","0000000000000100",1
"CDH1","CDH1","0000000000000100",1
"CDH17","CDH17","0000000000000100",1
"CDHR2","CDHR2","0000000000000100",1
"CDHR5","CDHR5","0000000000000100",1
"CDKN1A","CDKN1A","0000000000000100",1
"CEACAM6","CEACAM6","0000000000000100",1
"CES2","CES2","0000000000000100",1
"CFDP1","CFDP1","0000000000000100",1
"CHMP2A","CHMP2A","0000000000000100",1
"CIDEB","CIDEB","0000000000000100",1
"CLDN15","CLDN15","0000000000000100",1
"CREB3L3","CREB3L3","0000000000000100",1
"CRYL1","CRYL1","0000000000000100",1
"CTSZ","CTSZ","0000000000000100",1
"CYBRD1","CYBRD1","0000000000000100",1
"CYP3A4","CYP3A4","0000000000000100",1
"DGAT1","DGAT1","0000000000000100",1
"DHRS11","DHRS11","0000000000000100",1
"DSC2","DSC2","0000000000000100",1
"EDF1","EDF1","0000000000000100",1
"EPS8L2","EPS8L2","0000000000000100",1
"FABP1","FABP1","0000000000000100",1
"FABP2","FABP2","0000000000000100",1
"FAM3C","FAM3C","0000000000000100",1
"FAM96B","FAM96B","0000000000000100",1
"FUOM","FUOM","0000000000000100",1
"GLRX","GLRX","0000000000000100",1
"GPA33","GPA33","0000000000000100",1
"HADHA","HADHA","0000000000000100",1
"HPGD","HPGD","0000000000000100",1
"HRASLS2","HRASLS2","0000000000000100",1
"HSD17B11","HSD17B11","0000000000000100",1
"HSD17B2","HSD17B2","0000000000000100",1
"HTATIP2","HTATIP2","0000000000000100",1
