"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"S100A4",0,0.850122601766792,0.779,0.354,0,"1","S100A4"
"ATP5F1E",0,2.07675787802789,0.466,0.111,0,"1","ATP5F1E"
"FCN1",0,2.12171559143392,0.437,0.086,0,"1","FCN1"
"GABARAP",0,1.72021869038508,0.495,0.152,0,"1","GABARAP"
"RACK1",0,1.82963069329535,0.473,0.135,0,"1","RACK1"
"VCAN",0,1.55070744938745,0.438,0.125,0,"1","VCAN"
"THBS1",0,1.72329095237225,0.407,0.096,0,"1","THBS1"
"TSPO",0,1.79100934725471,0.422,0.121,0,"1","TSPO"
"C5AR1",0,2.01351737687496,0.357,0.088,0,"1","C5AR1"
"ATP5MC2",0,2.102883243104,0.352,0.083,0,"1","ATP5MC2"
"CXCL8",0,1.88928812047657,0.356,0.093,0,"1","CXCL8"
"S100A8",2.19389802867417e-276,0.518664171719749,0.61,0.24,3.96217983978555e-272,"1","S100A8"
"ATP5MG",4.19287067635166e-276,2.06670785863996,0.292,0.069,7.57232444149109e-272,"1","ATP5MG"
"CD55",6.64057770006045e-275,2.02231027348208,0.292,0.069,1.19928833263092e-270,"1","CD55"
"FPR1",1.32864743753697e-261,1.99910219273235,0.286,0.07,2.39953727219177e-257,"1","FPR1"
"AREG",9.90438468301465e-249,1.78804917371949,0.339,0.104,1.78873187375245e-244,"1","AREG"
"RPL17",2.6946073057419e-248,1.15292178874465,0.544,0.241,4.86646079416987e-244,"1","RPL17"
"EREG",4.67068092803595e-242,1.03156344641461,0.471,0.177,8.43524975603293e-238,"1","EREG"
"PNRC1",7.41608113717344e-236,0.964817927041282,0.615,0.296,1.33934425337352e-231,"1","PNRC1"
"KDM6B",1.19745988736714e-229,1.85328050941729,0.28,0.075,2.16261255658506e-225,"1","KDM6B"
"SERP1",1.0550234342586e-227,1.37520644579962,0.42,0.162,1.90537232227103e-223,"1","SERP1"
"SERPINA1",2.61645933105112e-222,1.13422380011806,0.485,0.204,4.72532555187832e-218,"1","SERPINA1"
"IFITM2",3.37184274267136e-221,1.4488209792336,0.366,0.128,6.08954799326447e-217,"1","IFITM2"
"TKT",4.78927639254941e-221,1.91934294856281,0.261,0.068,8.64943316494423e-217,"1","TKT"
"TNFRSF1B",6.08205290863022e-220,1.60994447437865,0.316,0.098,1.09841875529862e-215,"1","TNFRSF1B"
"SLC11A1",1.83798063854089e-218,1.76767962653753,0.279,0.077,3.31939303320485e-214,"1","SLC11A1"
"STXBP2",3.80793355029685e-218,1.71337350251691,0.299,0.089,6.87712799183612e-214,"1","STXBP2"
"FLNA",6.33548968688459e-207,1.62947622595891,0.296,0.091,1.14418943745136e-202,"1","FLNA"
"PLAUR",4.43567192603254e-203,0.879980926905939,0.579,0.285,8.01082349841477e-199,"1","PLAUR"
"BTG1",1.41284166131679e-187,0.693014805670046,0.689,0.368,2.55159204033812e-183,"1","BTG1"
"S100A6",6.14860946296395e-186,0.515080625655466,0.814,0.47,1.11043886901129e-181,"1","S100A6"
"NAMPT",1.19327327329029e-179,0.797830956386193,0.588,0.297,2.15505153156227e-175,"1","NAMPT"
"RILPL2",2.84174016478832e-170,1.52830258274552,0.278,0.094,5.1321827376077e-166,"1","RILPL2"
"PPIF",1.80407055814219e-169,1.40859140043608,0.309,0.113,3.2581514280048e-165,"1","PPIF"
"NFKBIZ",3.70270374220498e-169,1.25457067104131,0.346,0.135,6.68708295842219e-165,"1","NFKBIZ"
"TNFAIP3",3.11015341571522e-168,0.958913587950507,0.462,0.216,5.61693706878168e-164,"1","TNFAIP3"
"SLC2A3",3.99403455495094e-165,1.09687060268711,0.373,0.153,7.21322640624139e-161,"1","SLC2A3"
"COTL1",7.13212098056963e-162,0.780888499036815,0.53,0.27,1.28806104909088e-157,"1","COTL1"
"S100A12",1.02038552183074e-158,1.32656749705749,0.256,0.083,1.84281625242633e-154,"1","S100A12"
"APLP2",1.46965868856739e-154,1.49207236325365,0.266,0.092,2.6542035915527e-150,"1","APLP2"
"IFITM3",3.34685094761697e-149,0.887385734696519,0.482,0.247,6.04441281139625e-145,"1","IFITM3"
"DUSP2",2.30384973744865e-147,1.19019044255764,0.333,0.138,4.16075262583226e-143,"1","DUSP2"
"RPS26",1.3027934137387e-144,0.816972911533123,0.537,0.296,2.35284490521209e-140,"1","RPS26"
"PABPC1",9.80301357454606e-143,0.777593080731977,0.561,0.317,1.77042425156302e-138,"1","PABPC1"
"SAMSN1",4.47202896014513e-133,0.986740081280635,0.38,0.177,8.0764843020221e-129,"1","SAMSN1"
