"","genes","code","num_overlap"
"ALOX5AP","ALOX5AP","000000001",1
"APP","APP","000000001",1
"ARL4C","ARL4C","000000001",1
"BHLHE40","BHLHE40","000000001",1
"BTG2","BTG2","000000001",1
"C12orf75","C12orf75","000000001",1
"CCDC50","CCDC50","000000001",1
"CD37","CD37","000000001",1
"CD99","CD99","000000001",1
"CHCHD2","CHCHD2","000000001",1
"CIRBP","CIRBP","000000001",1
"CLIC3","CLIC3","000000001",1
"CLN8","CLN8","000000001",1
"CREM","CREM","000000001",1
"DDIT4","DDIT4","000000001",1
"DDX5","DDX5","000000001",1
"DSTN","DSTN","000000001",1
"EEF2","EEF2","000000001",1
"ERP29","ERP29","000000001",1
"EZR","EZR","000000001",1
"GAS6","GAS6","000000001",1
"GPR65","GPR65","000000001",1
"GZMB","GZMB","000000001",1
"HSP90B1","HSP90B1","000000001",1
"IRF2BP2","IRF2BP2","000000001",1
"IRF4","IRF4","000000001",1
"IRF7","IRF7","000000001",1
"IRF8","IRF8","000000001",1
"ITM2C","ITM2C","000000001",1
"JCHAIN","JCHAIN","000000001",1
"LDLRAD4","LDLRAD4","000000001",1
"LILRA4","LILRA4","000000001",1
"LILRB4","LILRB4","000000001",1
"LTB","LTB","000000001",1
"MYL12B","MYL12B","000000001",1
"NDUFS5","NDUFS5","000000001",1
"NR3C1","NR3C1","000000001",1
"NR4A1","NR4A1","000000001",1
"NR4A3","NR4A3","000000001",1
"PARK7","PARK7","000000001",1
"PAXX","PAXX","000000001",1
"PLAC8","PLAC8","000000001",1
"PLD4","PLD4","000000001",1
"PLP2","PLP2","000000001",1
"PPP1R14B","PPP1R14B","000000001",1
"RAB11FIP1","RAB11FIP1","000000001",1
"RAC2","RAC2","000000001",1
"RASD1","RASD1","000000001",1
"RNF149","RNF149","000000001",1
"SARAF","SARAF","000000001",1
"SELL","SELL","000000001",1
"SELPLG","SELPLG","000000001",1
"SERPINF1","SERPINF1","000000001",1
"SLC20A1","SLC20A1","000000001",1
"SLC7A5","SLC7A5","000000001",1
"SNHG7","SNHG7","000000001",1
"SOX4","SOX4","000000001",1
"SPCS1","SPCS1","000000001",1
"SRSF7","SRSF7","000000001",1
"SYNGR2","SYNGR2","000000001",1
"TAGLN2","TAGLN2","000000001",1
"TCF4","TCF4","000000001",1
"THBD","THBD","000000001",1
"THEMIS2","THEMIS2","000000001",1
"TRAF4","TRAF4","000000001",1
"TSC22D3","TSC22D3","000000001",1
"TSPAN13","TSPAN13","000000001",1
"TSPYL2","TSPYL2","000000001",1
"UGCG","UGCG","000000001",1
"XBP1","XBP1","000000001",1
"YPEL5","YPEL5","000000001",1
"YWHAZ","YWHAZ","000000001",1
"ZC3HAV1","ZC3HAV1","000000001",1
"ZNF331","ZNF331","000000001",1
"ZNF706","ZNF706","000000001",1
"ACTR3","ACTR3","000100000",1
"ARPC2","ARPC2","000100000",1
"ARPC3","ARPC3","000100000",1
"ARPC5","ARPC5","000100000",1
"ATP5J2","ATP5J2","000100000",1
"CFL1","CFL1","000100000",1
"EDF1","EDF1","000100000",1
"GDI2","GDI2","000100000",1
"GSN","GSN","000100000",1
"HMGN2","HMGN2","000100000",1
"LGALS2","LGALS2","000100000",1
"OST4","OST4","000100000",1
"PSME1","PSME1","000100000",1
"PSME2","PSME2","000100000",1
"RGS10","RGS10","000100000",1
"RPL12","RPL12","000100000",1
"RPL14","RPL14","000100000",1
"RPL18","RPL18","000100000",1
"RPL19","RPL19","000100000",1
"RPL22","RPL22","000100000",1
"RPL23","RPL23","000100000",1
"RPL23A","RPL23A","000100000",1
"RPL27","RPL27","000100000",1
"RPL28","RPL28","000100000",1
"RPL29","RPL29","000100000",1
"RPL30","RPL30","000100000",1
"RPL35","RPL35","000100000",1
"RPL35A","RPL35A","000100000",1
"RPL36","RPL36","000100000",1
"RPL36AL","RPL36AL","000100000",1
"RPL37","RPL37","000100000",1
"RPL37A","RPL37A","000100000",1
"RPL38","RPL38","000100000",1
"RPLP1","RPLP1","000100000",1
"RPLP2","RPLP2","000100000",1
"RPS12","RPS12","000100000",1
"RPS13","RPS13","000100000",1
"RPS15","RPS15","000100000",1
"RPS20","RPS20","000100000",1
"RPS21","RPS21","000100000",1
"RPS24","RPS24","000100000",1
"RPS25","RPS25","000100000",1
"RPS28","RPS28","000100000",1
"RPS7","RPS7","000100000",1
"RPS9","RPS9","000100000",1
"SKP1","SKP1","000100000",1
"SNX3","SNX3","000100000",1
"SUB1","SUB1","000100000",1
"SUMO2","SUMO2","000100000",1
"TMA7","TMA7","000100000",1
"UBL5","UBL5","000100000",1
"UQCRB","UQCRB","000100000",1
"APLP2","APLP2","100000000",1
"ATP5MC2","ATP5MC2","100000000",1
"ATP5MG","ATP5MG","100000000",1
"C5AR1","C5AR1","100000000",1
"CD55","CD55","100000000",1
"CLIC1","CLIC1","100000000",1
"COX4I1","COX4I1","100000000",1
"COX8A","COX8A","100000000",1
"CSTA","CSTA","100000000",1
"EIF3K","EIF3K","100000000",1
"ETS2","ETS2","100000000",1
"FLNA","FLNA","100000000",1
"FOSB","FOSB","100000000",1
"FPR1","FPR1","100000000",1
"FXYD5","FXYD5","100000000",1
"GK","GK","100000000",1
"GMFG","GMFG","100000000",1
"GNG5","GNG5","100000000",1
"GRINA","GRINA","100000000",1
"HCST","HCST","100000000",1
"IFITM2","IFITM2","100000000",1
"IFITM3","IFITM3","100000000",1
"KDM6B","KDM6B","100000000",1
"LCP1","LCP1","100000000",1
"NFKBIZ","NFKBIZ","100000000",1
"PLEK","PLEK","100000000",1
"PNRC1","PNRC1","100000000",1
"PPIF","PPIF","100000000",1
"PRELID1","PRELID1","100000000",1
"PTPRC","PTPRC","100000000",1
"RAB31","RAB31","100000000",1
"RILPL2","RILPL2","100000000",1
"RPS26","RPS26","100000000",1
"SERP1","SERP1","100000000",1
"SERPINB1","SERPINB1","100000000",1
"SLC11A1","SLC11A1","100000000",1
"SPI1","SPI1","100000000",1
"STXBP2","STXBP2","100000000",1
"THBS1","THBS1","100000000",1
"TKT","TKT","100000000",1
"TNFAIP3","TNFAIP3","100000000",1
"TNFRSF1B","TNFRSF1B","100000000",1
"TPM3","TPM3","100000000",1
"TSPO","TSPO","100000000",1
"TYMP","TYMP","100000000",1
"YWHAB","YWHAB","100000000",1
"ALDOA","ALDOA","000000010",1
"ANXA5","ANXA5","000000010",1
"ATP6V1G1","ATP6V1G1","000000010",1
"BNIP3L","BNIP3L","000000010",1
"BZW1","BZW1","000000010",1
"C4orf3","C4orf3","000000010",1
"CACYBP","CACYBP","000000010",1
"CFLAR","CFLAR","000000010",1
"CLK1","CLK1","000000010",1
"DNAJA1","DNAJA1","000000010",1
"ENO1","ENO1","000000010",1
"ERO1L","ERO1L","000000010",1
"GAPDH","GAPDH","000000010",1
"GLUL","GLUL","000000010",1
"HK2","HK2","000000010",1
"HSP90AA1","HSP90AA1","000000010",1
"HSPA6","HSPA6","000000010",1
"HSPB1","HSPB1","000000010",1
"HSPD1","HSPD1","000000010",1
"HSPE1","HSPE1","000000010",1
"HSPH1","HSPH1","000000010",1
"IER5","IER5","000000010",1
"IVNS1ABP","IVNS1ABP","000000010",1
"KYNU","KYNU","000000010",1
"LDHA","LDHA","000000010",1
"MIF","MIF","000000010",1
"NOP10","NOP10","000000010",1
