"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"SRGN",1.70667818602701e-133,1.03436818266897,0.888,0.708,2.53646512007335e-129,"1","SRGN"
"FTH1",6.75932457159035e-78,0.971951893509807,0.949,0.863,1.00457081782976e-73,"1","FTH1"
"B2M",8.05317866600446e-76,0.6980355255988,0.961,0.849,1.19686341334158e-71,"1","B2M"
"ACTB",6.52319275184952e-62,0.877592308534844,0.734,0.541,9.69476906779875e-58,"1","ACTB"
"TPSAB1",1.20026360131621e-55,0.570395562713759,0.982,0.905,1.78383176427616e-51,"1","TPSAB1"
"LGALS1",1.2122098238136e-52,1.4429824900171,0.353,0.191,1.80158624015177e-48,"1","LGALS1"
"ANXA1",1.12536023741706e-50,0.870944178684216,0.624,0.451,1.67251038484924e-46,"1","ANXA1"
"HPGDS",1.14435160356428e-46,0.758590289270288,0.52,0.338,1.70073535321724e-42,"1","HPGDS"
"ITM2B",2.6244413218033e-40,0.686279744095017,0.499,0.331,3.90044469246407e-36,"1","ITM2B"
"TMSB4X",2.74364757783062e-40,0.575828904005411,0.843,0.804,4.07760903017186e-36,"1","TMSB4X"
"CD9",1.00974741681495e-37,0.628035034949416,0.526,0.362,1.50068661087038e-33,"1","CD9"
"CPA3",2.45401142661378e-36,0.531835185329217,0.793,0.678,3.6471517822334e-32,"1","CPA3"
"LAPTM4A",1.86116138831619e-35,0.601792182149568,0.543,0.385,2.76605805531552e-31,"1","LAPTM4A"
"HPGD",7.5024760423522e-33,0.995746842372652,0.277,0.154,1.11501798941438e-28,"1","HPGD"
"CD63",3.39299091927014e-32,0.537737399657023,0.586,0.434,5.04266310421929e-28,"1","CD63"
"S100A4",4.18677803395482e-32,0.539004101340887,0.609,0.461,6.22238951406365e-28,"1","S100A4"
"H3F3A",1.96669711373614e-31,0.569606784508618,0.501,0.349,2.92290525043465e-27,"1","H3F3A"
