"","genes","code","num_overlap"
"ABRACL","ABRACL","000001",1
"AC020916.1","AC020916.1","000001",1
"ACTG1","ACTG1","000001",1
"ADCYAP1","ADCYAP1","000001",1
"AKAP13","AKAP13","000001",1
"AL662860.1","AL662860.1","000001",1
"ALDOA","ALDOA","000001",1
"ALOX5","ALOX5","000001",1
"ALOX5AP","ALOX5AP","000001",1
"ARHGAP18","ARHGAP18","000001",1
"ARHGDIB","ARHGDIB","000001",1
"ARPC1B","ARPC1B","000001",1
"ARPC3","ARPC3","000001",1
"ASAH1","ASAH1","000001",1
"ATP5F1D","ATP5F1D","000001",1
"ATP5F1E","ATP5F1E","000001",1
"ATP5MC2","ATP5MC2","000001",1
"ATP5MG","ATP5MG","000001",1
"ATP6V0C","ATP6V0C","000001",1
"ATP6V0E1","ATP6V0E1","000001",1
"ATP6V1F","ATP6V1F","000001",1
"ATP6V1G1","ATP6V1G1","000001",1
"BACE2","BACE2","000001",1
"BHLHE40","BHLHE40","000001",1
"BTF3","BTF3","000001",1
"BTG1","BTG1","000001",1
"C12orf57","C12orf57","000001",1
"CALM1","CALM1","000001",1
"CCNI","CCNI","000001",1
"CD37","CD37","000001",1
"CD44","CD44","000001",1
"CD99","CD99","000001",1
"CDKN1A","CDKN1A","000001",1
"CHCHD2","CHCHD2","000001",1
"CIRBP","CIRBP","000001",1
"CLIC1","CLIC1","000001",1
"CNBP","CNBP","000001",1
"COMMD6","COMMD6","000001",1
"COX4I1","COX4I1","000001",1
"COX5B","COX5B","000001",1
"COX6B1","COX6B1","000001",1
"COX7A2","COX7A2","000001",1
"COX8A","COX8A","000001",1
"CRTAP","CRTAP","000001",1
"CSF1","CSF1","000001",1
"CST3","CST3","000001",1
"DAZAP2","DAZAP2","000001",1
"DBI","DBI","000001",1
"DDIT4","DDIT4","000001",1
"DUSP2","DUSP2","000001",1
"EEF1D","EEF1D","000001",1
"EEF1G","EEF1G","000001",1
"EEF2","EEF2","000001",1
"EIF3K","EIF3K","000001",1
"ELF1","ELF1","000001",1
"EMP3","EMP3","000001",1
"FAU","FAU","000001",1
"FXYD5","FXYD5","000001",1
"GABARAP","GABARAP","000001",1
"GALC","GALC","000001",1
"GAPDH","GAPDH","000001",1
"GATA2","GATA2","000001",1
"GPX4","GPX4","000001",1
"GSTP1","GSTP1","000001",1
"H2AFZ","H2AFZ","000001",1
"HDC","HDC","000001",1
"HIGD2A","HIGD2A","000001",1
"HLA-E","HLA-E","000001",1
"HMGB1","HMGB1","000001",1
"HMGN1","HMGN1","000001",1
"HNRNPA2B1","HNRNPA2B1","000001",1
"HNRNPDL","HNRNPDL","000001",1
"HSP90AB1","HSP90AB1","000001",1
"HSP90B1","HSP90B1","000001",1
"HSPA8","HSPA8","000001",1
"IDS","IDS","000001",1
"IFITM2","IFITM2","000001",1
"IFITM3","IFITM3","000001",1
"IL1RL1","IL1RL1","000001",1
"KIT","KIT","000001",1
"LDHB","LDHB","000001",1
"LGALS3","LGALS3","000001",1
"MAOB","MAOB","000001",1
"MCL1","MCL1","000001",1
"MIF","MIF","000001",1
"MORF4L1","MORF4L1","000001",1
"MT-ATP8","MT-ATP8","000001",1
"MT-ND4L","MT-ND4L","000001",1
"MT-ND6","MT-ND6","000001",1
"MYADM","MYADM","000001",1
"MYL12B","MYL12B","000001",1
"NCL","NCL","000001",1
"NDUFA4","NDUFA4","000001",1
"NDUFS5","NDUFS5","000001",1
"NFKBIZ","NFKBIZ","000001",1
"NME2","NME2","000001",1
"NPC2","NPC2","000001",1
"NPM1","NPM1","000001",1
"NR4A2","NR4A2","000001",1
"OST4","OST4","000001",1
"PABPC1","PABPC1","000001",1
"PDIA3","PDIA3","000001",1
"PEBP1","PEBP1","000001",1
"PGA3","PGA3","000001",1
"PNRC1","PNRC1","000001",1
"PPDPF","PPDPF","000001",1
"PPIA","PPIA","000001",1
"PPIB","PPIB","000001",1
"PSAP","PSAP","000001",1
"PSME1","PSME1","000001",1
"RAC2","RAC2","000001",1
"RBM39","RBM39","000001",1
"RBM8A","RBM8A","000001",1
"REL","REL","000001",1
"RGS10","RGS10","000001",1
"RHOA","RHOA","000001",1
"RHOH","RHOH","000001",1
"RNASEK","RNASEK","000001",1
"RNF130","RNF130","000001",1
"RPL28","RPL28","000001",1
"RPL36AL","RPL36AL","000001",1
"RPL5","RPL5","000001",1
"RPS26","RPS26","000001",1
"RPS4Y1","RPS4Y1","000001",1
"S100A10","S100A10","000001",1
"S100A6","S100A6","000001",1
"SARAF","SARAF","000001",1
"SEC11A","SEC11A","000001",1
"SEC61B","SEC61B","000001",1
"SEC62","SEC62","000001",1
"SELENOK","SELENOK","000001",1
"SELENOW","SELENOW","000001",1
"SERF2","SERF2","000001",1
"SERP1","SERP1","000001",1
"SERPINB1","SERPINB1","000001",1
