"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"PPP1R15A",0,1.3345175909736,0.768,0.542,0,"1","PPP1R15A"
"FOSB",0,0.786863179074521,0.75,0.535,0,"1","FOSB"
"NFKBIA",0,1.49895700858667,0.748,0.549,0,"1","NFKBIA"
"HSPA1B",0,0.947551165803507,0.64,0.443,0,"1","HSPA1B"
"DNAJB1",0,1.00508629654746,0.643,0.453,0,"1","DNAJB1"
"ZFP36",0,0.856750853909942,0.775,0.586,0,"1","ZFP36"
"IER2",0,1.33283775979308,0.818,0.633,0,"1","IER2"
"HSPA1A",0,1.00376648541756,0.568,0.393,0,"1","HSPA1A"
"HSPB1",0,1.28766971977241,0.576,0.403,0,"1","HSPB1"
"AL928768.3",0,0.555631930627094,0.729,0.558,0,"1","AL928768.3"
"BTG2",0,0.688528940614691,0.76,0.606,0,"1","BTG2"
"JUNB",0,1.13954260561641,0.925,0.771,0,"1","JUNB"
"GADD45B",0,1.36096580073327,0.419,0.269,0,"1","GADD45B"
"MIR24-2",0,1.01336309019053,0.305,0.159,0,"1","MIR24-2"
"DUSP1",0,1.00735699779298,0.79,0.646,0,"1","DUSP1"
"IGJ",0,0.557249011909885,0.999,0.861,0,"1","IGJ"
"HSP90AA1",0,0.915024008663414,0.764,0.635,0,"1","HSP90AA1"
"FOS",0,1.01152405104545,0.867,0.743,0,"1","FOS"
"TSC22D3",0,0.631211776207598,0.876,0.763,0,"1","TSC22D3"
"JUN",0,1.01090357908332,0.95,0.838,0,"1","JUN"
"RGS1",0,1.02769159420075,0.786,0.676,0,"1","RGS1"
"H3F3B",0,0.66591169393423,0.916,0.838,0,"1","H3F3B"
"UBC",0,0.808889751567571,0.972,0.906,0,"1","UBC"
"FTL",0,0.627880144872652,0.999,0.988,0,"1","FTL"
"TMEM107",8.00404895637799e-255,0.717548432424326,0.447,0.293,1.59480675455832e-250,"1","TMEM107"
"RP11-386I14.4",1.04055704250179e-252,1.01584320919247,0.286,0.157,2.07330990718483e-248,"1","RP11-386I14.4"
"UBB",1.73464424333357e-252,0.629274682102462,0.815,0.735,3.45627865484214e-248,"1","UBB"
"EGR1",2.58306775505802e-236,0.878050927615916,0.341,0.205,5.14676250195311e-232,"1","EGR1"
"DUSP2",1.17799138391712e-224,1.25296972363176,0.338,0.212,2.34714783245487e-220,"1","DUSP2"
"FAM46C",1.2934830879504e-209,0.645947441987093,0.419,0.279,2.57726505274118e-205,"1","FAM46C"
"LINC00152",1.63006428668661e-179,0.579362358768361,0.462,0.328,3.24790309122308e-175,"1","LINC00152"
"YPEL5",8.71023276747013e-162,0.646023328930031,0.532,0.415,1.73551387891842e-157,"1","YPEL5"
"CITED2",5.77300052255199e-155,0.812617645328909,0.527,0.42,1.15027035411848e-150,"1","CITED2"
"SRSF7",2.38750358132865e-154,0.74576007458268,0.423,0.312,4.75710088579734e-150,"1","SRSF7"
"HSP90AB1",1.0551278582615e-149,0.574018969673587,0.558,0.452,2.10234225758604e-145,"1","HSP90AB1"
"NR4A1",5.12583045316934e-130,0.553257978814193,0.348,0.239,1.02132171779399e-125,"1","NR4A1"
"HSPA8",5.18084022725225e-128,0.573809591621071,0.561,0.465,1.03228241528001e-123,"1","HSPA8"
"SRSF3",1.57326858806211e-125,0.511990734943806,0.435,0.328,3.13473766171376e-121,"1","SRSF3"
"RGS2",1.00390762682974e-114,1.12589626961596,0.321,0.237,2.00028594645826e-110,"1","RGS2"
"DUSP5",9.77052533527823e-101,0.567697052499464,0.336,0.244,1.94677717305419e-96,"1","DUSP5"
"RGCC",4.17394513160521e-87,1.12567174280409,0.276,0.203,8.31658567472338e-83,"1","RGCC"
