"","genes","code","num_overlap"
"A1BG","A1BG","010000000000000",1
"AC016831.7","AC016831.7","010000000000000",1
"ACP1","ACP1","010000000000000",1
"ADI1","ADI1","010000000000000",1
"ADIPOR1","ADIPOR1","010000000000000",1
"AHNAK","AHNAK","010000000000000",1
"AKR1A1","AKR1A1","010000000000000",1
"ALKBH7","ALKBH7","010000000000000",1
"ANAPC16","ANAPC16","010000000000000",1
"ANAPC5","ANAPC5","010000000000000",1
"ANKRD12","ANKRD12","010000000000000",1
"ANP32B","ANP32B","010000000000000",1
"ANXA5","ANXA5","010000000000000",1
"AP3S1","AP3S1","010000000000000",1
"ARF1","ARF1","010000000000000",1
"ARF6","ARF6","010000000000000",1
"ARFGAP3","ARFGAP3","010000000000000",1
"ARHGDIA","ARHGDIA","010000000000000",1
"ARID5B","ARID5B","010000000000000",1
"ARL5A","ARL5A","010000000000000",1
"ARL6IP4","ARL6IP4","010000000000000",1
"ARMCX3","ARMCX3","010000000000000",1
"ARSA","ARSA","010000000000000",1
"ASAH1","ASAH1","010000000000000",1
"ATF3","ATF3","010000000000000",1
"ATOX1","ATOX1","010000000000000",1
"ATP5F1A","ATP5F1A","010000000000000",1
"ATP5F1B","ATP5F1B","010000000000000",1
"ATP5F1D","ATP5F1D","010000000000000",1
"ATP5F1E","ATP5F1E","010000000000000",1
"ATP5IF1","ATP5IF1","010000000000000",1
"ATP5MC1","ATP5MC1","010000000000000",1
"ATP5MC2","ATP5MC2","010000000000000",1
"ATP5MC3","ATP5MC3","010000000000000",1
"ATP5MD","ATP5MD","010000000000000",1
"ATP5ME","ATP5ME","010000000000000",1
"ATP5MF","ATP5MF","010000000000000",1
"ATP5MG","ATP5MG","010000000000000",1
"ATP5MPL","ATP5MPL","010000000000000",1
"ATP5PD","ATP5PD","010000000000000",1
"ATP5PF","ATP5PF","010000000000000",1
"ATP6V0C","ATP6V0C","010000000000000",1
"ATP6V1F","ATP6V1F","010000000000000",1
"ATRAID","ATRAID","010000000000000",1
"ATRX","ATRX","010000000000000",1
"AUP1","AUP1","010000000000000",1
"AURKAIP1","AURKAIP1","010000000000000",1
"B4GALT3","B4GALT3","010000000000000",1
"BCAP31","BCAP31","010000000000000",1
"BSCL2","BSCL2","010000000000000",1
"BST2","BST2","010000000000000",1
"BTN3A2","BTN3A2","010000000000000",1
