"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"RACK1",0,1.85507409449256,0.599,0.159,0,"1","RACK1"
"EEF1G",0,2.11028466811275,0.405,0.09,0,"1","EEF1G"
"TMEM176A",1.26043352064606e-269,1.04614815716584,0.658,0.258,2.47914669175874e-265,"1","TMEM176A"
"TMEM176B",9.37144863569734e-242,0.82482767258745,0.73,0.309,1.84327023215531e-237,"1","TMEM176B"
"NBL1",3.52496642682821e-231,1.51043132144345,0.428,0.14,6.93325646492841e-227,"1","NBL1"
"NME2",1.46494697851748e-222,1.70841666561792,0.368,0.109,2.88140421204603e-218,"1","NME2"
"MMP2",1.06740133278202e-214,0.928227069908523,0.624,0.265,2.09947168144895e-210,"1","MMP2"
"PLAT",5.26607996628356e-214,1.13298535846553,0.452,0.155,1.03578526856831e-209,"1","PLAT"
"RPL17",4.19907251143118e-201,0.958276908930147,0.647,0.315,8.25915572273398e-197,"1","RPL17"
"IFITM1",7.27236710862781e-200,1.05610113331351,0.579,0.259,1.430401886596e-195,"1","IFITM1"
"SELENOM",2.44206662860596e-192,1.500692839009,0.372,0.123,4.80330085180506e-188,"1","SELENOM"
"LSP1",1.16036343938208e-180,1.3305405159818,0.395,0.141,2.28231884892061e-176,"1","LSP1"
"PDGFRA",2.9462516498494e-167,1.0293008237636,0.448,0.176,5.79498237008879e-163,"1","PDGFRA"
"GABARAP",7.01683869106753e-167,1.3213722007082,0.399,0.155,1.38014200214607e-162,"1","GABARAP"
"MFAP4",9.85201610808634e-158,0.631384231965305,0.652,0.315,1.9377930482995e-153,"1","MFAP4"
"PDPN",4.81104275540513e-156,1.42504181149995,0.312,0.103,9.46283999560634e-152,"1","PDPN"
"PDLIM1",9.51863096506623e-151,0.999865130570084,0.513,0.247,1.87221952451888e-146,"1","PDLIM1"
"RGS10",1.15816746105737e-150,1.43416869714604,0.308,0.103,2.27799957915374e-146,"1","RGS10"
"CEBPD",4.15446252890007e-141,0.942134484988969,0.477,0.22,8.17141234809355e-137,"1","CEBPD"
"RPS4Y1",1.73682511105779e-131,1.26577281919062,0.345,0.138,3.41616131093957e-127,"1","RPS4Y1"
"MT-ND4L",1.07055665781085e-129,0.554665660780989,0.673,0.365,2.10567789024816e-125,"1","MT-ND4L"
"F3",2.04235148618901e-128,0.877121415537675,0.357,0.139,4.01710113818517e-124,"1","F3"
"ATP5MG",2.29826061900268e-127,1.55325961137064,0.253,0.083,4.52044881151637e-123,"1","ATP5MG"
"CEBPB",3.74815912152859e-126,1.23983811712648,0.325,0.127,7.37225417613459e-122,"1","CEBPB"
"SOD2",1.35550002245885e-122,0.766914140830221,0.416,0.184,2.66613299417431e-118,"1","SOD2"
"ETS2",2.58828048584952e-120,1.45039362387808,0.262,0.091,5.09088888761742e-116,"1","ETS2"
"SERPINF1",4.80412711672364e-120,0.580970737498118,0.593,0.307,9.44923762588373e-116,"1","SERPINF1"
"ZFP36L2",2.0899027157953e-119,0.936347270495798,0.435,0.207,4.11062965169778e-115,"1","ZFP36L2"
"DPT",2.3764702322078e-118,0.964851612111146,0.344,0.139,4.67427929972951e-114,"1","DPT"
"ATP5MC2",2.20255513427522e-115,1.32319794036821,0.283,0.106,4.33220569360592e-111,"1","ATP5MC2"
"ATP5F1E",1.93891077314867e-114,1.32099083802005,0.284,0.108,3.81364359970612e-110,"1","ATP5F1E"
"NFKBIA",1.04047536070338e-112,0.711824061708773,0.521,0.278,2.04651098696748e-108,"1","NFKBIA"
"NNMT",1.44202175939266e-109,0.729323250582554,0.501,0.259,2.83631259854942e-105,"1","NNMT"
"FOXF1",8.83435912233889e-109,1.42794787797175,0.253,0.092,1.73763009577284e-104,"1","FOXF1"
"KLF4",2.90044754531779e-105,1.19826805601888,0.268,0.101,5.70489027688557e-101,"1","KLF4"
"PPIB",1.30330817789236e-100,0.635591442992751,0.61,0.363,2.56347685509648e-96,"1","PPIB"
"MT-ATP8",1.39369631647174e-94,0.616719817887719,0.454,0.228,2.74126128486827e-90,"1","MT-ATP8"
"SPON2",2.15795615303741e-91,0.654535016150901,0.436,0.225,4.24448395740929e-87,"1","SPON2"
"FHL2",5.42435553689708e-83,1.07965522545221,0.268,0.116,1.06691649055229e-78,"1","FHL2"
"OLFML3",6.16756490553966e-80,1.14946411298679,0.255,0.11,1.2130983412706e-75,"1","OLFML3"
"LTBP4",1.3609146157239e-79,0.705579056148642,0.424,0.228,2.67678295766734e-75,"1","LTBP4"
"BMP4",1.09501136107847e-78,0.942918734812493,0.298,0.139,2.15377784610524e-74,"1","BMP4"
"IER3",6.07850220582921e-72,0.735944764423599,0.318,0.157,1.19558059886455e-67,"1","IER3"
"FOSB",3.51550375050768e-71,0.502804339502718,0.494,0.287,6.91464432687355e-67,"1","FOSB"
"CTSB",8.41155110218019e-69,1.00289647905873,0.27,0.129,1.65446798628782e-64,"1","CTSB"
"GEM",1.25254801500596e-68,0.805896166225831,0.323,0.165,2.46363669071522e-64,"1","GEM"
"EMILIN1",1.18006995323467e-64,0.819970865558223,0.305,0.156,2.32107959101727e-60,"1","EMILIN1"
"SQSTM1",2.65137001408502e-64,0.613834921329917,0.398,0.225,5.21497968070382e-60,"1","SQSTM1"
"PLTP",6.09488924383736e-64,0.978032998117927,0.253,0.12,1.19880376537037e-59,"1","PLTP"
"PNRC1",2.00753520231576e-63,0.651106116073955,0.436,0.262,3.94862098943487e-59,"1","PNRC1"
"ANXA5",2.19175080398441e-63,0.611414041445177,0.467,0.288,4.31095465635693e-59,"1","ANXA5"
"APLP2",5.58089269134021e-62,0.844906241109582,0.303,0.159,1.09770578345971e-57,"1","APLP2"
"CTSK",3.34545302694763e-60,0.659535505795031,0.317,0.167,6.58017155870329e-56,"1","CTSK"
"GLUL",4.43843888061328e-59,0.935428402631175,0.269,0.137,8.72996543427825e-55,"1","GLUL"
"EDIL3",5.1882809357459e-59,0.925524060027582,0.25,0.122,1.02048297725186e-54,"1","EDIL3"
"MCL1",2.73031810418229e-57,0.699357999485019,0.343,0.192,5.37026267911615e-53,"1","MCL1"
"TSC22D3",7.03516944468135e-57,0.660221376703227,0.383,0.226,1.38374747807438e-52,"1","TSC22D3"
"EEF1B2",3.52413974093768e-55,0.633483437235357,0.414,0.255,6.93163045645033e-51,"1","EEF1B2"
"TXNIP",3.15313258865371e-53,0.675552744242079,0.351,0.205,6.20189648862298e-49,"1","TXNIP"
