"","genes","code","num_overlap"
"ABI3BP","ABI3BP","00000010",1
"AC245595.1","AC245595.1","00000010",1
"ADD3","ADD3","00000010",1
"ANXA1","ANXA1","00000010",1
"ANXA2","ANXA2","00000010",1
"APP","APP","00000010",1
"ARL6IP5","ARL6IP5","00000010",1
"ATP6V0E1","ATP6V0E1","00000010",1
"ATRAID","ATRAID","00000010",1
"C1QTNF3","C1QTNF3","00000010",1
"CCDC80","CCDC80","00000010",1
"CD248","CD248","00000010",1
"CD55","CD55","00000010",1
"CD81","CD81","00000010",1
"CLEC3B","CLEC3B","00000010",1
"CLU","CLU","00000010",1
"COL14A1","COL14A1","00000010",1
"CRTAP","CRTAP","00000010",1
"CSTB","CSTB","00000010",1
"CTSF","CTSF","00000010",1
"CXCL12","CXCL12","00000010",1
"CYBRD1","CYBRD1","00000010",1
"DDAH2","DDAH2","00000010",1
"ECM1","ECM1","00000010",1
"EFEMP1","EFEMP1","00000010",1
"EFEMP2","EFEMP2","00000010",1
"EMP3","EMP3","00000010",1
"EPHX1","EPHX1","00000010",1
"FBLN2","FBLN2","00000010",1
"FBLN5","FBLN5","00000010",1
"FBN1","FBN1","00000010",1
"FCGRT","FCGRT","00000010",1
"FXYD1","FXYD1","00000010",1
"GNG11","GNG11","00000010",1
"GPNMB","GPNMB","00000010",1
"GPX4","GPX4","00000010",1
"GRN","GRN","00000010",1
"GSN","GSN","00000010",1
"GSTP1","GSTP1","00000010",1
"HEXB","HEXB","00000010",1
"HSPB6","HSPB6","00000010",1
"HTRA1","HTRA1","00000010",1
"IGFBP4","IGFBP4","00000010",1
"IGFBP6","IGFBP6","00000010",1
"ISLR","ISLR","00000010",1
"ITM2A","ITM2A","00000010",1
"LAMP1","LAMP1","00000010",1
"LHFPL6","LHFPL6","00000010",1
"LRP1","LRP1","00000010",1
"MFAP5","MFAP5","00000010",1
"MGST1","MGST1","00000010",1
"MXRA8","MXRA8","00000010",1
"MYOC","MYOC","00000010",1
"NENF","NENF","00000010",1
"OGN","OGN","00000010",1
"PAM","PAM","00000010",1
"PI16","PI16","00000010",1
"PIGT","PIGT","00000010",1
"PLD3","PLD3","00000010",1
"PLPP3","PLPP3","00000010",1
"PODN","PODN","00000010",1
"PPIC","PPIC","00000010",1
"PRDX1","PRDX1","00000010",1
"PRELP","PRELP","00000010",1
"PROCR","PROCR","00000010",1
"PSAP","PSAP","00000010",1
"QSOX1","QSOX1","00000010",1
"REXO2","REXO2","00000010",1
"RNASE4","RNASE4","00000010",1
"RNH1","RNH1","00000010",1
"RTN4","RTN4","00000010",1
"SCARA5","SCARA5","00000010",1
"SDCBP","SDCBP","00000010",1
"SELENOP","SELENOP","00000010",1
"SERPING1","SERPING1","00000010",1
"SFRP1","SFRP1","00000010",1
"SFRP2","SFRP2","00000010",1
"SH3BGRL3","SH3BGRL3","00000010",1
"SLIT3","SLIT3","00000010",1
"SLPI","SLPI","00000010",1
"SPTBN1","SPTBN1","00000010",1
"SRPX","SRPX","00000010",1
"SSPN","SSPN","00000010",1
"TIMP2","TIMP2","00000010",1
"TIMP3","TIMP3","00000010",1
"TNXB","TNXB","00000010",1
"TSPAN4","TSPAN4","00000010",1
"TSPO","TSPO","00000010",1
"TXN","TXN","00000010",1
"VAT1","VAT1","00000010",1
"WDR83OS","WDR83OS","00000010",1
"WISP2","WISP2","00000010",1
"AL928768.3","AL928768.3","00000001",1
"ANKRD28","ANKRD28","00000001",1
"C19orf10","C19orf10","00000001",1
"CD69","CD69","00000001",1
"CD74","CD74","00000001",1
"CD79A","CD79A","00000001",1
"CDK2AP2","CDK2AP2","00000001",1
"CITED2","CITED2","00000001",1
"COPE","COPE","00000001",1
"CRELD2","CRELD2","00000001",1
"CUTA","CUTA","00000001",1
"DDIT4","DDIT4","00000001",1
"DERL3","DERL3","00000001",1
"DNAJB9","DNAJB9","00000001",1
"EIF1","EIF1","00000001",1
"FKBP11","FKBP11","00000001",1
"FKBP2","FKBP2","00000001",1
"H3F3B","H3F3B","00000001",1
"HERPUD1","HERPUD1","00000001",1
"HIST1H1C","HIST1H1C","00000001",1
"HSP90B1","HSP90B1","00000001",1
"HSPA5","HSPA5","00000001",1
"IGJ","IGJ","00000001",1
"IGLL5","IGLL5","00000001",1
"ISG20","ISG20","00000001",1
"ITM2C","ITM2C","00000001",1
"KDELR2","KDELR2","00000001",1
"LMAN1","LMAN1","00000001",1
"LMAN2","LMAN2","00000001",1
"MANF","MANF","00000001",1
"MZB1","MZB1","00000001",1
"NUCB2","NUCB2","00000001",1
