"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"CD8A",0,1.74957115234374,0.764,0.217,0,"1","CD8A"
"CD8B",0,1.86312400254363,0.438,0.117,0,"1","CD8B"
"VIM",0,0.675254638180154,0.774,0.464,0,"1","VIM"
"ZFP36L2",0,0.521087505621758,0.838,0.539,0,"1","ZFP36L2"
"ATP5F1E",0,0.82059333586622,0.587,0.329,0,"1","ATP5F1E"
"ALOX5AP",0,0.937875556601358,0.494,0.242,0,"1","ALOX5AP"
"RACK1",0,0.596563683347289,0.69,0.438,0,"1","RACK1"
"S100A6",0,0.502237265721709,0.666,0.425,0,"1","S100A6"
"CD99",0,0.76607009585074,0.542,0.312,0,"1","CD99"
"HOPX",0,1.79135265944164,0.314,0.085,0,"1","HOPX"
"GZMB",0,0.62465640548624,0.393,0.173,0,"1","GZMB"
"CAPG",0,1.69532076859829,0.312,0.094,0,"1","CAPG"
"IFITM1",0,0.54099012324298,0.608,0.399,0,"1","IFITM1"
"KLRC1",0,1.97428077005821,0.267,0.059,0,"1","KLRC1"
"PARP8",0,1.10560430995712,0.347,0.153,0,"1","PARP8"
"PAXX",0,1.23373548972627,0.318,0.13,0,"1","PAXX"
"ATP5MG",0,0.747054630497236,0.453,0.269,0,"1","ATP5MG"
"LSP1",0,0.562263317862403,0.51,0.334,0,"1","LSP1"
"FYB1",0,0.697092655108008,0.414,0.244,0,"1","FYB1"
"CLIC1",0,0.500032357864676,0.534,0.365,0,"1","CLIC1"
"TXNIP",0,0.532311397507707,0.481,0.312,0,"1","TXNIP"
"S100A10",0,0.601292076530171,0.464,0.296,0,"1","S100A10"
"CD96",0,0.746493624410567,0.372,0.211,0,"1","CD96"
"PTGER4",0,0.788381474919902,0.354,0.195,0,"1","PTGER4"
"LCP1",0,0.666827017253722,0.407,0.249,0,"1","LCP1"
"UQCR11",0,0.95196326448441,0.318,0.163,0,"1","UQCR11"
"PRF1",0,0.867895222362529,0.297,0.148,0,"1","PRF1"
"CXCR6",0,1.05373413481503,0.277,0.129,0,"1","CXCR6"
"PGK1",0,0.668514888588871,0.386,0.238,0,"1","PGK1"
"CCL4L2",0,0.693875145551254,0.287,0.139,0,"1","CCL4L2"
"OSTF1",0,0.865190350856579,0.314,0.17,0,"1","OSTF1"
"MYH9",0,0.63672343195381,0.384,0.241,0,"1","MYH9"
"CD3G",0,0.577147775483805,0.388,0.248,0,"1","CD3G"
"ATP5MC2",0,0.560638405999305,0.425,0.286,0,"1","ATP5MC2"
"SYTL3",0,0.659990688677026,0.338,0.2,0,"1","SYTL3"
"LGALS1",0,0.720054129444644,0.266,0.135,0,"1","LGALS1"
"TRBC2",0,0.727224663787656,0.304,0.179,0,"1","TRBC2"
"MSN",0,0.701484421023616,0.301,0.182,0,"1","MSN"
"CD63",0,0.839474214975799,0.25,0.133,0,"1","CD63"
"ELOB",0,0.729739766954502,0.263,0.158,0,"1","ELOB"
"GABARAP",1.06084075918498e-273,0.589104761120991,0.325,0.215,2.30191836335548e-269,"1","GABARAP"
"LY6E",4.79465600017315e-255,0.550375208421989,0.32,0.213,1.04039240547757e-250,"1","LY6E"
"LCP2",4.96136089154454e-253,0.601543953180441,0.284,0.183,1.07656569985625e-248,"1","LCP2"
"KIAA1551",4.06032703719374e-252,0.569161056863182,0.289,0.186,8.8105036380067e-248,"1","KIAA1551"
"CKLF",1.31534865349665e-248,0.525062966197477,0.302,0.197,2.85417504322238e-244,"1","CKLF"
"PDCD4",1.23863215498341e-235,0.530139145258689,0.32,0.216,2.6877079130985e-231,"1","PDCD4"
"TRIR",4.41791931826292e-227,0.583690674812839,0.281,0.185,9.5864431286987e-223,"1","TRIR"
"GSTP1",9.67458833864547e-223,0.54687303749133,0.278,0.183,2.09928892360268e-218,"1","GSTP1"
"ADGRE5",1.35745956591165e-221,0.548326031679195,0.251,0.16,2.94555151207169e-217,"1","ADGRE5"
"ABRACL",4.1831403794387e-207,0.507650979997182,0.309,0.213,9.07699630934403e-203,"1","ABRACL"
"RNASEK",8.73278283528553e-190,0.553146552776977,0.263,0.177,1.89492654742861e-185,"1","RNASEK"
"RABAC1",1.56018750764971e-187,0.538922304650752,0.268,0.182,3.38545087284911e-183,"1","RABAC1"
"IL7R",0,1.2323323148468,0.852,0.383,0,"2","IL7R"
"TNFAIP3",0,0.941386516827943,0.798,0.43,0,"2","TNFAIP3"
"NFKBIA",0,1.00199087303259,0.737,0.374,0,"2","NFKBIA"
"EEF1G",0,1.13048335060219,0.666,0.307,0,"2","EEF1G"
"RACK11",0,0.852023732105987,0.783,0.439,0,"2","RACK1"
"ANXA1",0,0.975591415716782,0.655,0.312,0,"2","ANXA1"
"VIM1",0,0.943367807306138,0.802,0.478,0,"2","VIM"
"EEF1B2",0,0.699646252525154,0.771,0.468,0,"2","EEF1B2"
"SARAF",0,0.665905122913504,0.736,0.436,0,"2","SARAF"
"RPL17",0,0.618998692728755,0.862,0.575,0,"2","RPL17"
"ZFP36",0,0.710384003380847,0.751,0.476,0,"2","ZFP36"
"S100A101",0,0.919502766629335,0.553,0.293,0,"2","S100A10"
"S100A11",0,1.01760213547546,0.503,0.246,0,"2","S100A11"
"RPLP0",0,0.589352767270748,0.933,0.678,0,"2","RPLP0"
"ZFP36L21",0,0.553624532397457,0.813,0.56,0,"2","ZFP36L2"
"PABPC1",0,0.50290228601018,0.765,0.516,0,"2","PABPC1"
"TAGLN2",0,0.824495897645718,0.554,0.311,0,"2","TAGLN2"
"CRIP1",0,0.762322939380633,0.612,0.376,0,"2","CRIP1"
"LTB",0,0.632990760090671,0.515,0.281,0,"2","LTB"
"NOP53",0,1.10195365514823,0.425,0.196,0,"2","NOP53"
"EEF2",0,0.508759874673952,0.689,0.469,0,"2","EEF2"
"FXYD5",0,0.600129730052881,0.585,0.372,0,"2","FXYD5"
"MCL1",0,0.588857139261443,0.575,0.363,0,"2","MCL1"
"MYADM",0,1.16391257602969,0.368,0.157,0,"2","MYADM"
"SPOCK2",0,0.791101123314155,0.477,0.267,0,"2","SPOCK2"
"LMNA",0,1.47732706641446,0.315,0.11,0,"2","LMNA"
"IFITM11",0,0.524982278883371,0.606,0.411,0,"2","IFITM1"
"NFKBIZ",0,1.12867701248024,0.339,0.15,0,"2","NFKBIZ"
"RGCC",0,0.824714019556225,0.434,0.247,0,"2","RGCC"
"FOSB",0,0.726497401875292,0.418,0.235,0,"2","FOSB"
"RPS4Y1",0,0.698945760136713,0.442,0.262,0,"2","RPS4Y1"
"RORA",0,0.814433691957655,0.369,0.196,0,"2","RORA"
"AHNAK",0,0.95576520809667,0.341,0.17,0,"2","AHNAK"
"ADGRE51",0,0.986676684308058,0.325,0.154,0,"2","ADGRE5"
"ATP5F1E1",0,0.535231715124194,0.518,0.354,0,"2","ATP5F1E"
"PPP1R15A",0,0.508215083633877,0.481,0.318,0,"2","PPP1R15A"
"ATP5MG1",0,0.65026385991426,0.443,0.281,0,"2","ATP5MG"
"GPR183",0,0.519288925210309,0.414,0.252,0,"2","GPR183"
"CSRNP1",0,1.05670853520672,0.299,0.14,0,"2","CSRNP1"
"SERP1",0,0.675398615394996,0.4,0.247,0,"2","SERP1"
"ATP5MC21",0,0.59193567695416,0.443,0.291,0,"2","ATP5MC2"
"AC016831.7",0,0.70705250358776,0.336,0.195,0,"2","AC016831.7"
"PTGER41",0,0.698204844800141,0.342,0.205,0,"2","PTGER4"
"SELENOK",0,0.92840788840247,0.283,0.147,0,"2","SELENOK"
"RPS17",0,0.826199451372482,0.277,0.155,0,"2","RPS17"
"PDCD41",9.39960694936274e-305,0.665681593636968,0.352,0.218,2.03962071194222e-300,"2","PDCD4"
"MIF",5.44355854825113e-291,0.504327423562934,0.489,0.339,1.18119776938501e-286,"2","MIF"
"GPR65",2.77332713469981e-281,0.79763546023766,0.251,0.141,6.01784254958512e-277,"2","GPR65"
"PLP2",7.32284990254042e-271,0.774174627301652,0.262,0.151,1.58898520035224e-266,"2","PLP2"
"RPL22L1",1.95643220111909e-253,0.721770373948334,0.267,0.158,4.24526223320831e-249,"2","RPL22L1"
"IDS",1.04809774329938e-243,0.605866006755447,0.317,0.199,2.27426729318533e-239,"2","IDS"
"EMP3",8.53412576299499e-218,0.538752333690261,0.348,0.231,1.85181994931228e-213,"2","EMP3"
"CD48",1.12451860512224e-195,0.54287250247538,0.338,0.23,2.44009292125474e-191,"2","CD48"
"EML4",4.44073156138667e-191,0.535780136850782,0.302,0.197,9.63594341505294e-187,"2","EML4"
"GLIPR1",9.48153038084716e-169,0.564367307225045,0.274,0.181,2.05739727734002e-164,"2","GLIPR1"
"IRF1",3.1036063511279e-165,0.530478959146162,0.289,0.194,6.73451542131244e-161,"2","IRF1"
"UQCR111",1.81306395424155e-154,0.567308787280469,0.267,0.179,3.93416747430874e-150,"2","UQCR11"
"EIF4B",1.74759712885078e-152,0.526973523262676,0.293,0.202,3.7921110098933e-148,"2","EIF4B"
"TRIR1",1.98253871593987e-147,0.533076614382152,0.279,0.191,4.30191075971792e-143,"2","TRIR"
"GNB2L1",0,2.05580562216571,0.601,0.157,0,"3","GNB2L1"
"IGJ",0,0.944011536103294,0.485,0.139,0,"3","IGJ"
"RPL27A",0,1.57570787690653,0.897,0.585,0,"3","RPL27A"
"ATP5E",0,1.48119737464759,0.472,0.16,0,"3","ATP5E"
"RPS20",0,1.41518859908215,0.753,0.445,0,"3","RPS20"
"RPL7",0,1.72063766436466,0.885,0.601,0,"3","RPL7"
"RPL31",0,1.49980293056004,0.842,0.566,0,"3","RPL31"
"RPS10",0,1.31446931621971,0.604,0.333,0,"3","RPS10"
"RPS29",0,1.74344186364525,0.944,0.674,0,"3","RPS29"
"ATP5L",0,1.63014814016213,0.366,0.118,0,"3","ATP5L"
"GLTSCR2",0,2.38461222790706,0.287,0.058,0,"3","GLTSCR2"
"TMEM66",0,1.6790708344355,0.328,0.1,0,"3","TMEM66"
"ATP5G2",0,1.72829555948107,0.306,0.092,0,"3","ATP5G2"
"RPL38",0,1.09271878170662,0.698,0.485,0,"3","RPL38"
"RPL36A",0,1.12849863747624,0.545,0.333,0,"3","RPL36A"
"IGLL5",0,1.50262303342618,0.307,0.095,0,"3","IGLL5"
"RPL41",0,1.76238279158468,0.974,0.769,0,"3","RPL41"
"RPL13A",0,1.69850027230271,0.966,0.766,0,"3","RPL13A"
"MT-ND4",0,0.999946414748592,0.846,0.667,0,"3","MT-ND4"
"HSPA1B",0,1.40713520822215,0.331,0.159,0,"3","HSPA1B"
"RPL23",0,0.824865375632482,0.516,0.349,0,"3","RPL23"
"HSPA1A",0,1.33421068249403,0.358,0.194,0,"3","HSPA1A"
"RPL21",0,1.91072567618015,0.959,0.796,0,"3","RPL21"
"MT-ND2",0,0.934812099497016,0.771,0.61,0,"3","MT-ND2"
"EIF3E",0,0.918829398819712,0.43,0.274,0,"3","EIF3E"
"RPL36",0,1.2940804902605,0.906,0.756,0,"3","RPL36"
"LTB1",0,0.930557721855427,0.437,0.294,0,"3","LTB"
"RPL35",0,1.10585054520939,0.85,0.707,0,"3","RPL35"
"RPL9",0,1.13029492606429,0.824,0.687,0,"3","RPL9"
"JUN",0,1.28640591622153,0.583,0.447,0,"3","JUN"
"PGC",0,1.52595329754126,0.258,0.135,0,"3","PGC"
"RPL37A",0,0.868690739309373,0.776,0.668,0,"3","RPL37A"
"RPLP2",0,1.49560843824236,0.961,0.853,0,"3","RPLP2"
"RPL39",0,1.68298360002806,0.973,0.868,0,"3","RPL39"
"RPS11",0,0.652400422526541,0.628,0.525,0,"3","RPS11"
"RPL3",0,1.45101353327247,0.941,0.838,0,"3","RPL3"
"RPL34",0,1.95116677123146,0.982,0.88,0,"3","RPL34"
"FOS",0,1.12135090437773,0.546,0.447,0,"3","FOS"
"RPS6",0,1.69050194764652,0.953,0.854,0,"3","RPS6"
"RPL27",0,0.752302619755139,0.681,0.584,0,"3","RPL27"
"DNAJB1",0,1.14840786808004,0.518,0.422,0,"3","DNAJB1"
"RPL10A",0,0.94088944902046,0.81,0.717,0,"3","RPL10A"
"RPL23A",0,1.1594514190298,0.887,0.795,0,"3","RPL23A"
"RPS25",0,1.22062238957288,0.908,0.817,0,"3","RPS25"
"RPL35A",0,1.11764404817402,0.898,0.808,0,"3","RPL35A"
"RPS18",0,1.68855994697469,0.98,0.89,0,"3","RPS18"
"RPS28",0,1.32309892584125,0.95,0.863,0,"3","RPS28"
