"","genes","code","num_overlap"
"AAK1","AAK1","00000000001000000",1
"ACTR2","ACTR2","00000000001000000",1
"ADAR","ADAR","00000000001000000",1
"AKAP9","AKAP9","00000000001000000",1
"AKNA","AKNA","00000000001000000",1
"ANKRD44","ANKRD44","00000000001000000",1
"ARAP2","ARAP2","00000000001000000",1
"ARHGAP15","ARHGAP15","00000000001000000",1
"ARID4B","ARID4B","00000000001000000",1
"ARL6IP5","ARL6IP5","00000000001000000",1
"ATF7IP","ATF7IP","00000000001000000",1
"ATP2B4","ATP2B4","00000000001000000",1
"ATRX","ATRX","00000000001000000",1
"AUP1","AUP1","00000000001000000",1
"CAST","CAST","00000000001000000",1
"CD164","CD164","00000000001000000",1
"CD53","CD53","00000000001000000",1
"CD55","CD55","00000000001000000",1
"CD6","CD6","00000000001000000",1
"CDC37","CDC37","00000000001000000",1
"CEMIP2","CEMIP2","00000000001000000",1
"CFLAR","CFLAR","00000000001000000",1
"CHD1","CHD1","00000000001000000",1
"CLEC2D","CLEC2D","00000000001000000",1
"CNOT6L","CNOT6L","00000000001000000",1
"CRYBG1","CRYBG1","00000000001000000",1
"CYTH1","CYTH1","00000000001000000",1
"DDX6","DDX6","00000000001000000",1
"DOCK10","DOCK10","00000000001000000",1
"DOCK8","DOCK8","00000000001000000",1
"DPP7","DPP7","00000000001000000",1
"DYNC1H1","DYNC1H1","00000000001000000",1
"EMB","EMB","00000000001000000",1
"ERN1","ERN1","00000000001000000",1
"EWSR1","EWSR1","00000000001000000",1
"FAM129A","FAM129A","00000000001000000",1
"FNBP1","FNBP1","00000000001000000",1
"FNBP4","FNBP4","00000000001000000",1
"G3BP2","G3BP2","00000000001000000",1
"GCC2","GCC2","00000000001000000",1
"GLG1","GLG1","00000000001000000",1
"GOLGA8B","GOLGA8B","00000000001000000",1
"GPBP1","GPBP1","00000000001000000",1
"GPRIN3","GPRIN3","00000000001000000",1
"GSTK1","GSTK1","00000000001000000",1
"HLA-E","HLA-E","00000000001000000",1
"IKZF3","IKZF3","00000000001000000",1
"IL10RA","IL10RA","00000000001000000",1
"IQGAP1","IQGAP1","00000000001000000",1
"ITGA4","ITGA4","00000000001000000",1
"ITK","ITK","00000000001000000",1
"JAK3","JAK3","00000000001000000",1
"JMJD1C","JMJD1C","00000000001000000",1
"KTN1","KTN1","00000000001000000",1
"LDLRAD4","LDLRAD4","00000000001000000",1
"LNPEP","LNPEP","00000000001000000",1
"LRRFIP1","LRRFIP1","00000000001000000",1
"MACF1","MACF1","00000000001000000",1
"MGAT4A","MGAT4A","00000000001000000",1
"MTDH","MTDH","00000000001000000",1
"MYCBP2","MYCBP2","00000000001000000",1
"NCOR1","NCOR1","00000000001000000",1
"NKTR","NKTR","00000000001000000",1
"NSD3","NSD3","00000000001000000",1
"ODF2L","ODF2L","00000000001000000",1
"OGA","OGA","00000000001000000",1
"OGT","OGT","00000000001000000",1
"PDE3B","PDE3B","00000000001000000",1
"PDE4B","PDE4B","00000000001000000",1
"PDE4D","PDE4D","00000000001000000",1
"PNN","PNN","00000000001000000",1
"PRPF8","PRPF8","00000000001000000",1
"PTPRC","PTPRC","00000000001000000",1
"RALGAPA1","RALGAPA1","00000000001000000",1
"RANBP2","RANBP2","00000000001000000",1
"RBL2","RBL2","00000000001000000",1
"RNF149","RNF149","00000000001000000",1
"SCAF11","SCAF11","00000000001000000",1
"SEPT1","SEPT1","00000000001000000",1
"SF3B1","SF3B1","00000000001000000",1
"SLC38A1","SLC38A1","00000000001000000",1
"SON","SON","00000000001000000",1
"SP100","SP100","00000000001000000",1
"SPTAN1","SPTAN1","00000000001000000",1
"SRPRA","SRPRA","00000000001000000",1
"SRSF11","SRSF11","00000000001000000",1
"SRSF4","SRSF4","00000000001000000",1
"SSH2","SSH2","00000000001000000",1
"STAT4","STAT4","00000000001000000",1
"SYNE2","SYNE2","00000000001000000",1
"TAF15","TAF15","00000000001000000",1
"TAP1","TAP1","00000000001000000",1
"TCF25","TCF25","00000000001000000",1
"TGFBR2","TGFBR2","00000000001000000",1
"TMC8","TMC8","00000000001000000",1
"TMEM50A","TMEM50A","00000000001000000",1
"TPR","TPR","00000000001000000",1
"TRAF3IP3","TRAF3IP3","00000000001000000",1
"TRIM22","TRIM22","00000000001000000",1
