"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"CD3E",5.9815685720127e-29,1.50679368649969,0.758,0.231,4.87438022933315e-25,"1","CD3E"
"CD3D",8.31359552266332e-29,1.70903309501596,0.664,0.163,6.77474899141834e-25,"1","CD3D"
"ARL6IP5",2.8397006701828e-23,1.61707120113542,0.581,0.154,2.31407207613196e-19,"1","ARL6IP5"
"CYBA",6.80374876070631e-23,1.28128454398756,0.722,0.253,5.54437486509957e-19,"1","CYBA"
"ITM2B",8.57210596273495e-22,1.26734340086837,0.711,0.26,6.98540914903271e-18,"1","ITM2B"
"ALOX5AP",7.00462284025593e-21,2.38005920207001,0.383,0.058,5.70806715252456e-17,"1","ALOX5AP"
"CD7",1.92345934593971e-20,1.33960469012713,0.639,0.205,1.56742702100627e-16,"1","CD7"
"PDIA3",6.1642143266606e-20,1.42179746463241,0.567,0.167,5.02321825479572e-16,"1","PDIA3"
"PTPRCAP",2.83694209298757e-18,1.20203370185658,0.635,0.231,2.31182411157557e-14,"1","PTPRCAP"
"SPOCK2",4.75105736759324e-17,1.13603614308234,0.632,0.228,3.87163664885173e-13,"1","SPOCK2"
"LCP1",5.29366102795202e-17,1.17166005281306,0.596,0.208,4.3138043716781e-13,"1","LCP1"
"LEPROTL1",5.36080465548394e-17,1.2056073847364,0.578,0.196,4.36851971375386e-13,"1","LEPROTL1"
"GZMM",1.14013358083041e-16,2.21896576759142,0.321,0.051,9.29094855018698e-13,"1","GZMM"
"MTDH",1.28096717298887e-16,1.39946597033587,0.466,0.128,1.04386014926863e-12,"1","MTDH"
"BSG",2.09592378429778e-16,2.44251396310615,0.296,0.042,1.70796829182426e-12,"1","BSG"
"PPIB",2.98307188735532e-16,1.31994006021539,0.513,0.163,2.43090528100585e-12,"1","PPIB"
"SELPLG",4.84125639081516e-16,1.74656888887029,0.375,0.083,3.94513983287527e-12,"1","SELPLG"
"HCST",9.80926768320068e-16,1.33035779883212,0.455,0.125,7.99357223504024e-12,"1","HCST"
"TRAM1",2.32642042750749e-15,2.45545301881365,0.296,0.051,1.89580000637585e-11,"1","TRAM1"
"IFITM1",2.7586487164114e-15,1.08257650923063,0.596,0.221,2.24802283900365e-11,"1","IFITM1"
"LAPTM5",4.93464857618128e-15,1.16109081110287,0.567,0.212,4.02124512473013e-11,"1","LAPTM5"
"CD247",5.15973148246336e-15,1.38639890160607,0.426,0.115,4.20466518505939e-11,"1","CD247"
"SELENOF",1.0346542661019e-14,2.2591228940634,0.285,0.048,8.4313976144644e-11,"1","SELENOF"
"GZMA",1.21963921376463e-14,1.85408836296983,0.347,0.08,9.93883995296796e-11,"1","GZMA"
"CD3G",1.4840334338808e-14,1.15203124606413,0.509,0.167,1.20933884526946e-10,"1","CD3G"
"CLIC1",1.56355306734932e-14,1.17915458935998,0.484,0.157,1.27413939458296e-10,"1","CLIC1"
"CD52",1.64577051220388e-14,1.14996498171374,0.552,0.205,1.34113839039494e-10,"1","CD52"
"SPCS1",1.97268885796219e-14,1.65444215872774,0.31,0.058,1.60754415035339e-10,"1","SPCS1"
"MYH9",4.23790118941271e-14,0.887867086812469,0.617,0.24,3.45346567925242e-10,"1","MYH9"
"PRF1",5.58574356004409e-14,1.87947930131975,0.325,0.074,4.55182242707993e-10,"1","PRF1"
"HLA-E",7.97939126774602e-14,0.713074837861459,0.921,0.519,6.50240594408623e-10,"1","HLA-E"
"CD96",8.98941956570518e-14,0.96712129628941,0.617,0.253,7.32547800409315e-10,"1","CD96"
"IL2RG",2.19928498307817e-13,1.36721086193087,0.368,0.096,1.7921973327104e-09,"1","IL2RG"
"LY6E",2.80024385348752e-13,2.17166005281306,0.278,0.054,2.28191871620698e-09,"1","LY6E"
"LRP10",4.88531978435639e-13,1.91359189987262,0.274,0.051,3.98104709227202e-09,"1","LRP10"
"SERINC1",5.06311587592212e-13,1.63109167145036,0.343,0.09,4.12593312728894e-09,"1","SERINC1"
"CD99",5.45381572138846e-13,1.08036421879351,0.473,0.16,4.44431443135945e-09,"1","CD99"
"COX4I1",5.55125852421319e-13,1.54291586006399,0.325,0.077,4.52372057138133e-09,"1","COX4I1"
"TMEM59",8.0771866019607e-13,1.23196056308087,0.412,0.131,6.58209936193778e-09,"1","TMEM59"
"TNFRSF1B",1.51275544604677e-12,1.1343790367336,0.44,0.147,1.23274441298351e-08,"1","TNFRSF1B"
"ERP29",1.61674886264265e-12,1.68067370030092,0.296,0.067,1.31748864816749e-08,"1","ERP29"
"MGAT4A",1.8394510498441e-12,1.18796186514216,0.415,0.131,1.49896866051795e-08,"1","MGAT4A"
"ATP6AP2",2.31980406132415e-12,1.9341607390864,0.26,0.048,1.89040832957305e-08,"1","ATP6AP2"
"CXCR6",2.42115423501177e-12,1.42068760065297,0.35,0.096,1.97299858611109e-08,"1","CXCR6"
"ITM2A",2.66555371166829e-12,1.30376358882041,0.375,0.112,2.17215971963849e-08,"1","ITM2A"
"CANX",2.80446025436242e-12,1.75662255353422,0.307,0.077,2.28535466127993e-08,"1","CANX"
"CD53",3.02766251944364e-12,0.893847591607987,0.585,0.244,2.46724218709462e-08,"1","CD53"
"PSAP",4.06045373327934e-12,1.2754958637976,0.383,0.119,3.30886374724934e-08,"1","PSAP"
"CD8A",5.08128288839462e-12,1.48481793807269,0.379,0.125,4.14073742575278e-08,"1","CD8A"
"FXYD5",5.73426608228694e-12,0.940776170582972,0.538,0.215,4.67285343045563e-08,"1","FXYD5"
"CALR",5.95227125668624e-12,1.02727014347789,0.509,0.202,4.85050584707362e-08,"1","CALR"
"PDIA6",8.64026467891834e-12,1.79844272922884,0.292,0.074,7.04095168685055e-08,"1","PDIA6"
"TMEM50A",1.02426846288655e-11,1.25345414397671,0.357,0.106,8.3467637040625e-08,"1","TMEM50A"
"CST7",1.4575500659343e-11,1.18980739952332,0.375,0.115,1.18775754872986e-07,"1","CST7"
"BCAP31",1.47286747509349e-11,1.60164789355788,0.289,0.071,1.20023970545369e-07,"1","BCAP31"
"ICAM3",2.35127516930118e-11,1.33281484462764,0.339,0.099,1.91605413546353e-07,"1","ICAM3"
"IL2RB",2.72688422255575e-11,1.14781331085869,0.332,0.09,2.22213795296068e-07,"1","IL2RB"
"SSR4",3.98453588152561e-11,1.01442031100186,0.43,0.154,3.24699828985522e-07,"1","SSR4"
"ITGAE",5.74712815011107e-11,1.53265771237902,0.292,0.077,4.68333472952551e-07,"1","ITGAE"
"PTGER4",5.76491280369097e-11,0.830623134977993,0.56,0.234,4.69782744372777e-07,"1","PTGER4"
"RORA",5.99964980535994e-11,0.734021124597083,0.574,0.228,4.88911462638781e-07,"1","RORA"
"WAS",7.4385211353697e-11,1.4579642379697,0.282,0.071,6.06165087321277e-07,"1","WAS"
"DIAPH1",8.43770063771601e-11,1.50028280027443,0.292,0.08,6.87588224967477e-07,"1","DIAPH1"
"NKG7",8.55054344060165e-11,1.47544080099016,0.314,0.093,6.96783784974628e-07,"1","NKG7"
"CEP350",9.39392201382179e-11,1.66519952577062,0.274,0.071,7.65510704906338e-07,"1","CEP350"
"TAPBP",1.07737443797829e-10,0.73974873496982,0.585,0.25,8.77952429508509e-07,"1","TAPBP"
"CD5",1.33510579987622e-10,1.61644489548596,0.253,0.058,1.08797771631913e-06,"1","CD5"
"ATP6V0E1",1.50907373772433e-10,0.836924181625077,0.437,0.157,1.22974418887156e-06,"1","ATP6V0E1"
"COX6A1",1.99642693600942e-10,1.22694248831425,0.343,0.109,1.62688831015408e-06,"1","COX6A1"
"TLN1",2.50749318037182e-10,1.37043991692756,0.285,0.077,2.04335619268499e-06,"1","TLN1"
"NDUFA4",2.60168340218304e-10,1.43152717956817,0.278,0.074,2.12011180443896e-06,"1","NDUFA4"
"TAP1",3.47792804174779e-10,1.13849318887786,0.339,0.109,2.83416356122027e-06,"1","TAP1"
"TMBIM6",3.5304189454951e-10,0.776405165724754,0.581,0.26,2.87693839868395e-06,"1","TMBIM6"
"LAMP1",4.04170021697556e-10,1.28059442436622,0.307,0.09,3.29358150681338e-06,"1","LAMP1"
"JAK1",6.19529508829384e-10,0.728877563051312,0.516,0.215,5.04854596745065e-06,"1","JAK1"
"SLC3A2",7.70554180151953e-10,1.24828133441597,0.314,0.099,6.27924601405827e-06,"1","SLC3A2"
"FKBP11",7.81967898574404e-10,1.61023306655269,0.253,0.064,6.37225640548281e-06,"1","FKBP11"
"SUN2",8.23329805073172e-10,1.02191293330838,0.347,0.115,6.70931458154128e-06,"1","SUN2"
"SYNGR2",8.32576449738344e-10,1.12190701761596,0.3,0.087,6.78466548891776e-06,"1","SYNGR2"
"HNRNPK",9.24749417256357e-10,0.756622553534216,0.448,0.173,7.53578300122206e-06,"1","HNRNPK"
"MSN",9.68194718511487e-10,0.840038561721854,0.451,0.179,7.8898187611501e-06,"1","MSN"
"SERINC3",1.21805006708065e-09,1.32816453849305,0.289,0.087,9.92588999664026e-06,"1","SERINC3"
"ITGA4",1.60153591227099e-09,0.671231062303572,0.606,0.279,1.30509161490963e-05,"1","ITGA4"
"ADAM10",1.65986864278206e-09,1.17166005281306,0.303,0.093,1.3526269570031e-05,"1","ADAM10"
"RAC2",1.84023638182759e-09,1.04792468439082,0.361,0.131,1.4996086275513e-05,"1","RAC2"
"HSP90B1",1.90374780686639e-09,0.760078112170435,0.48,0.199,1.55136408781542e-05,"1","HSP90B1"
"LBR",1.92757415445949e-09,1.51561445403042,0.267,0.077,1.57078017846904e-05,"1","LBR"
"CD164",2.25922678613064e-09,0.904873512118159,0.354,0.122,1.84104390801786e-05,"1","CD164"
"RNASEK",2.82353834080758e-09,0.961240273142688,0.339,0.115,2.3009013939241e-05,"1","RNASEK"
"M6PR",2.85145136530611e-09,1.06474484889655,0.321,0.106,2.32364771758795e-05,"1","M6PR"
"S100A4",3.10880938872789e-09,0.898975476945547,0.365,0.128,2.53336877087436e-05,"1","S100A4"
"RPL4",3.23722994093155e-09,0.917903460567277,0.404,0.16,2.63801867886512e-05,"1","RPL4"
