"","genes","code","num_overlap"
"ACTN4","ACTN4","100",1
"ACTR3","ACTR3","100",1
"ADAM10","ADAM10","100",1
"AKAP9","AKAP9","100",1
"ALOX5AP","ALOX5AP","100",1
"APBB1IP","APBB1IP","100",1
"ARF1","ARF1","100",1
"ARHGEF7","ARHGEF7","100",1
"ARID4B","ARID4B","100",1
"ARL6IP5","ARL6IP5","100",1
"ARPC3","ARPC3","100",1
"ATP6AP2","ATP6AP2","100",1
"ATP6V0E1","ATP6V0E1","100",1
"B4GALT1","B4GALT1","100",1
"BAZ1A","BAZ1A","100",1
"BCAP31","BCAP31","100",1
"BSG","BSG","100",1
"BZW1","BZW1","100",1
"CALR","CALR","100",1
"CANX","CANX","100",1
"CCR6","CCR6","100",1
"CD164","CD164","100",1
"CD2","CD2","100",1
"CD247","CD247","100",1
"CD28","CD28","100",1
"CD3D","CD3D","100",1
"CD3E","CD3E","100",1
"CD3G","CD3G","100",1
"CD47","CD47","100",1
"CD5","CD5","100",1
"CD52","CD52","100",1
"CD53","CD53","100",1
"CD6","CD6","100",1
"CD7","CD7","100",1
"CD8A","CD8A","100",1
"CD96","CD96","100",1
"CD99","CD99","100",1
"CDC14A","CDC14A","100",1
"CDC42SE1","CDC42SE1","100",1
"CDC42SE2","CDC42SE2","100",1
"CEP350","CEP350","100",1
"CHST11","CHST11","100",1
"CLEC2B","CLEC2B","100",1
"CLIC1","CLIC1","100",1
"CMTM6","CMTM6","100",1
"CORO1A","CORO1A","100",1
"COX4I1","COX4I1","100",1
"COX6A1","COX6A1","100",1
"CRY1","CRY1","100",1
"CST7","CST7","100",1
"CTSC","CTSC","100",1
"CXCR6","CXCR6","100",1
"CYBA","CYBA","100",1
"DAD1","DAD1","100",1
"DHRS7","DHRS7","100",1
"DIAPH1","DIAPH1","100",1
"DOCK10","DOCK10","100",1
"EMB","EMB","100",1
"EMP3","EMP3","100",1
"ERP29","ERP29","100",1
"FCMR","FCMR","100",1
"FKBP11","FKBP11","100",1
