"cluster","celltype"
"g1","Ionocytes"
"g1","Ionocytes"
"g1","Nephron epithelial cell"
"g1","GABAergic neurons"
"g1","GABAergic neurons"
"g1","Intercalated cells"
"g1","Intercalated cells"
"g1","Red pulp macrophages"
"g1","Red pulp macrophages"
"g1","FAN_EMBRYONIC_CTX_BIG_GROUPS_INHIBITORY"
"g2","NK cells_FANTOM_1"
"g2","Large granular lymphocyte"
"g2","Natural killer cell"
"g2","Null cell"
"g2","CD4+ memory T-cells_IRIS_1"
"g2","T cell"
"g2","Angiogenic T cell"
"g2","CD8+ T cell"
"g2","Leukocyte"
"g2","Immune cell (Ovarian Cancer)"
"g3","Erythrocytes_NOVERSHTERN_2"
"g3","ZHONG_PFC_C3_UNKNOWN_INP"
"g3","GAO_LARGE_INTESTINE_ADULT_CH_MKI67HIGH_CELLS"
"g3","Th2 cells_IRIS_2"
"g3","Erythrocytes_NOVERSHTERN_1"
"g3","CLP_BLUEPRINT_1"
"g3","ZHONG_PFC_C2_UNKNOWN_NPC"
"g3","Bone marrow stromal cell"
"g3","Stromal cell"
"g3","Erythrocytes_NOVERSHTERN_3"
"g4","Intestinal stem cell"
"g4","Neural stem cell"
"g4","Intestinal stem cell"
"g4","Abdomen"
"g4","Retinal progenitor cells"
"g4","Retinal progenitor cells"
"g4","Crypt cells"
"g4","Crypt cells"
"g4","Adipose-derived stem cell"
"g4","GABAergic neurons"
"g5","Insulinoma cell"
"g5","Pancreatic cancer cell"
"g5","Hematopoietic stem cell"
"g5","Serotonergic neurons"
"g5","Serotonergic neurons"
"g5","Endothelial cell (Renal Clear Cell Carcinoma)"
"g5","Follicular cells"
"g5","Follicular cells"
"g5","Bronchogenic carcinoma cell"
"g5","Lung adenocarcinoma cell"
