"cluster","celltype"
"1","Lymphoblast"
"1","HAY_BONE_MARROW_NAIVE_T_CELL"
"1","Transit amplifying (TA) cell"
"1","Lymphocyte"
"1","Lymphoid cell"
"1","Goblet cell"
"1","Leukocyte"
"1","Hematopoietic cell"
"1","BONE MARROW (BULK TISSUE)"
"1","BLOOD DENDRITIC CELLS"
"2","MANNO_MIDBRAIN_NEUROTYPES_HMGL"
"2","Fibroblasts"
"2","Fibroblasts"
"2","FAN_EMBRYONIC_CTX_BIG_GROUPS_BRAIN_IMMUNE"
"2","Natural killer T cells"
"2","Natural killer T cells"
"2","ZHONG_PFC_MAJOR_TYPES_MICROGLIA"
"2","Erythroid-like and erythroid precursor cells"
"2","HBA_AdrenalCortex"
"2","IMGN_T_4FP3+25+_AA"
"3","LAKE_ADULT_KIDNEY_C26_MESANGIAL_CELLS"
"3","HU_FETAL_RETINA_MICROGLIA"
"3","ZHONG_PFC_MAJOR_TYPES_MICROGLIA"
"3","FAN_EMBRYONIC_CTX_BIG_GROUPS_MICROGLIA"
"3","CUI_DEVELOPING_HEART_C7_MAST_CELL"
"3","Microglial cell"
"3","DURANTE_ADULT_OLFACTORY_NEUROEPITHELIUM_MAST_CELLS"
"3","MANNO_MIDBRAIN_NEUROTYPES_HMGL"
"3","LAKE_ADULT_KIDNEY_C27_VASCULAR_SMOOTH_MUSCLE_CELLS_AND_PERICYTES"
"3","AIZARANI_LIVER_C12_NK_NKT_CELLS_4"
"4","BLOOD DENDRITIC CELLS"
"4","DENDRITIC CELL"
"4","CORD BLOOD"
"4","BONE MARROW (BULK TISSUE)"
"4","FAN_EMBRYONIC_CTX_BRAIN_B_CELL"
"4","Blood"
"4","AIZARANI_LIVER_C34_MHC_II_POS_B_CELLS"
"4","B cell (Renal Cell Carcinoma)"
"4","Lymphocyte"
"4","Lymphoid cell"
"5","HU_FETAL_RETINA_MICROGLIA"
"5","DENDRITIC CELL"
"5","BLOOD DENDRITIC CELLS"
"5","DURANTE_ADULT_OLFACTORY_NEUROEPITHELIUM_MAST_CELLS"
"5","MANNO_MIDBRAIN_NEUROTYPES_HMGL"
"5","ZHONG_PFC_MAJOR_TYPES_MICROGLIA"
"5","CUI_DEVELOPING_HEART_C7_MAST_CELL"
"5","Monocyte"
"5","MENON_FETAL_KIDNEY_10_IMMUNE_CELLS"
"5","AIZARANI_LIVER_C28_NK_NKT_CELLS_6"
