"cluster","celltype"
"1","AIZARANI_LIVER_C10_MVECS_1"
"1","MURARO_PANCREAS_ENDOTHELIAL_CELL"
"1","AIZARANI_LIVER_C29_MVECS_2"
"1","LAKE_ADULT_KIDNEY_C24_ENDOTHELIAL_CELLS_AEA_AND_DVR"
"1","MENON_FETAL_KIDNEY_9_ENDOTHELIAL_CELLS"
"1","LAKE_ADULT_KIDNEY_C26_MESANGIAL_CELLS"
"1","LAKE_ADULT_KIDNEY_C23_ENDOTHELIAL_CELLS_AVR"
"1","DURANTE_ADULT_OLFACTORY_NEUROEPITHELIUM_PERICYTES"
"1","CUI_DEVELOPING_HEART_CORONARY_VASCULAR_ENDOTHELIAL_CELL"
"1","Microglial cell"
"2","LAKE_ADULT_KIDNEY_C12_THICK_ASCENDING_LIMB"
"2","LAKE_ADULT_KIDNEY_C8_DECENDING_THIN_LIMB"
"2","LAKE_ADULT_KIDNEY_C7_PROXIMAL_TUBULE_EPITHELIAL_CELLS_S3"
"2","LAKE_ADULT_KIDNEY_C9_THIN_ASCENDING_LIMB"
"2","LAKE_ADULT_KIDNEY_C19_COLLECTING_DUCT_INTERCALATED_CELLS_TYPE_A_MEDULLA"
"2","LAKE_ADULT_KIDNEY_C18_COLLECTING_DUCT_PRINCIPAL_CELLS_MEDULLA"
"2","BLOOD DENDRITIC CELLS"
"2","Transit amplifying (TA) cell"
"2","LAKE_ADULT_KIDNEY_C10_THIN_ASCENDING_LIMB"
"2","HAY_BONE_MARROW_NAIVE_T_CELL"
