"cluster","celltype"
"1","LAKE_ADULT_KIDNEY_C8_DECENDING_THIN_LIMB"
"1","LAKE_ADULT_KIDNEY_C10_THIN_ASCENDING_LIMB"
"1","LAKE_ADULT_KIDNEY_C9_THIN_ASCENDING_LIMB"
"1","LAKE_ADULT_KIDNEY_C18_COLLECTING_DUCT_PRINCIPAL_CELLS_MEDULLA"
"1","Embryonic fibroblast"
"1","Fibroblast"
"1","MANNO_MIDBRAIN_NEUROTYPES_BASAL"
"1","LAKE_ADULT_KIDNEY_C19_COLLECTING_DUCT_INTERCALATED_CELLS_TYPE_A_MEDULLA"
"1","BONE MARROW (BULK TISSUE)"
"1","BLOOD DENDRITIC CELLS"
"2","MURARO_PANCREAS_DUCTAL_CELL"
"2","LAKE_ADULT_KIDNEY_C10_THIN_ASCENDING_LIMB"
"2","AIZARANI_LIVER_C39_EPCAM_POS_BILE_DUCT_CELLS_4"
"2","Microglial cell"
"2","HU_FETAL_RETINA_MICROGLIA"
"2","MURARO_PANCREAS_ACINAR_CELL"
"2","FAN_EMBRYONIC_CTX_BIG_GROUPS_MICROGLIA"
"2","ZHONG_PFC_MAJOR_TYPES_MICROGLIA"
"2","LAKE_ADULT_KIDNEY_C17_COLLECTING_SYSTEM_PCS_STRESSED_DISSOC_SUBSET"
"2","CUI_DEVELOPING_HEART_C8_MACROPHAGE"
"3","LAKE_ADULT_KIDNEY_C9_THIN_ASCENDING_LIMB"
"3","LAKE_ADULT_KIDNEY_C8_DECENDING_THIN_LIMB"
"3","LAKE_ADULT_KIDNEY_C12_THICK_ASCENDING_LIMB"
"3","Transit amplifying (TA) cell"
"3","LAKE_ADULT_KIDNEY_C19_COLLECTING_DUCT_INTERCALATED_CELLS_TYPE_A_MEDULLA"
"3","LAKE_ADULT_KIDNEY_C18_COLLECTING_DUCT_PRINCIPAL_CELLS_MEDULLA"
"3","MURARO_PANCREAS_ACINAR_CELL"
"3","LAKE_ADULT_KIDNEY_C7_PROXIMAL_TUBULE_EPITHELIAL_CELLS_S3"
"3","BLOOD DENDRITIC CELLS"
"3","Goblet cell"
"4","BLOOD DENDRITIC CELLS"
"4","CORD BLOOD"
"4","DENDRITIC CELL"
"4","LAKE_ADULT_KIDNEY_C9_THIN_ASCENDING_LIMB"
"4","KIDNEY (BULK TISSUE)"
"4","LAKE_ADULT_KIDNEY_C8_DECENDING_THIN_LIMB"
"4","LAKE_ADULT_KIDNEY_C19_COLLECTING_DUCT_INTERCALATED_CELLS_TYPE_A_MEDULLA"
"4","LAKE_ADULT_KIDNEY_C18_COLLECTING_DUCT_PRINCIPAL_CELLS_MEDULLA"
"4","LAKE_ADULT_KIDNEY_C10_THIN_ASCENDING_LIMB"
"4","MURARO_PANCREAS_DUCTAL_CELL"
"5","BLOOD DENDRITIC CELLS"
"5","CORD BLOOD"
"5","DENDRITIC CELL"
"5","LAKE_ADULT_KIDNEY_C12_THICK_ASCENDING_LIMB"
"5","KIDNEY (BULK TISSUE)"
"5","BONE MARROW (BULK TISSUE)"
"5","CD34+ CELL"
"5","Transit amplifying (TA) cell"
"5","HAY_BONE_MARROW_NAIVE_T_CELL"
"5","LAKE_ADULT_KIDNEY_C8_DECENDING_THIN_LIMB"
"6","Foveolar cells"
"6","Foveolar cells"
"6","stomach"
"6","MURARO_PANCREAS_DUCTAL_CELL"
"6","HU_FETAL_RETINA_MICROGLIA"
"6","Stomach"
"6","MANNO_MIDBRAIN_NEUROTYPES_HMGL"
"6","FAN_EMBRYONIC_CTX_BIG_GROUPS_MICROGLIA"
"6","Krt4/13+ cell"
"6","GASTRIC EPITHELIAL CELL"
"7","MENON_FETAL_KIDNEY_7_LOOPOF_HENLE_CELLS_DISTAL"
"7","MENON_FETAL_KIDNEY_8_CONNECTING_TUBULE_CELLS"
"7","LAKE_ADULT_KIDNEY_C12_THICK_ASCENDING_LIMB"
"7","BLOOD DENDRITIC CELLS"
"7","LAKE_ADULT_KIDNEY_C19_COLLECTING_DUCT_INTERCALATED_CELLS_TYPE_A_MEDULLA"
"7","DENDRITIC CELL"
"7","KIDNEY (BULK TISSUE)"
"7","LAKE_ADULT_KIDNEY_C18_COLLECTING_DUCT_PRINCIPAL_CELLS_MEDULLA"
"7","FAN_EMBRYONIC_CTX_BIG_GROUPS_CAJAL_RETZIUS"
"7","LAKE_ADULT_KIDNEY_C10_THIN_ASCENDING_LIMB"
