"cluster","celltype"
"1","BLOOD DENDRITIC CELLS"
"1","CORD BLOOD"
"1","DENDRITIC CELL"
"1","BONE MARROW (BULK TISSUE)"
"1","CD34+ CELL"
"1","ZHENG_CORD_BLOOD_C8_PUTATIVE_LYMPHOID_PRIMED_MULTIPOTENT_PROGENITOR_2"
"1","MANNO_MIDBRAIN_NEUROTYPES_BASAL"
"1","CUI_DEVELOPING_HEART_C8_MACROPHAGE"
"1","Monocyte"
"1","LAKE_ADULT_KIDNEY_C9_THIN_ASCENDING_LIMB"
"2","Monocyte"
"2","DURANTE_ADULT_OLFACTORY_NEUROEPITHELIUM_DENDRITIC_CELLS"
"2","MURARO_PANCREAS_DUCTAL_CELL"
"2","AIZARANI_LIVER_C23_KUPFFER_CELLS_3"
"2","CUI_DEVELOPING_HEART_C8_MACROPHAGE"
"2","AIZARANI_LIVER_C25_KUPFFER_CELLS_4"
"2","DURANTE_ADULT_OLFACTORY_NEUROEPITHELIUM_MAST_CELLS"
"2","MANNO_MIDBRAIN_NEUROTYPES_HMGL"
"2","FAN_EMBRYONIC_CTX_BIG_GROUPS_MICROGLIA"
"2","FAN_EMBRYONIC_CTX_BRAIN_MYELOID"
"3","BLOOD DENDRITIC CELLS"
"3","CD34+ CELL"
"3","LAKE_ADULT_KIDNEY_C8_DECENDING_THIN_LIMB"
"3","LAKE_ADULT_KIDNEY_C9_THIN_ASCENDING_LIMB"
"3","CORD BLOOD"
"3","Transit amplifying (TA) cell"
"3","LAKE_ADULT_KIDNEY_C10_THIN_ASCENDING_LIMB"
"3","LAKE_ADULT_KIDNEY_C18_COLLECTING_DUCT_PRINCIPAL_CELLS_MEDULLA"
"3","BONE MARROW (BULK TISSUE)"
"3","DENDRITIC CELL"
"4","HU_FETAL_RETINA_MICROGLIA"
"4","CUI_DEVELOPING_HEART_C8_MACROPHAGE"
"4","DURANTE_ADULT_OLFACTORY_NEUROEPITHELIUM_MACROPHAGES"
"4","ZHONG_PFC_MAJOR_TYPES_MICROGLIA"
"4","FAN_EMBRYONIC_CTX_BIG_GROUPS_MICROGLIA"
"4","Microglial cell"
"4","AIZARANI_LIVER_C6_KUPFFER_CELLS_2"
"4","AIZARANI_LIVER_C2_KUPFFER_CELLS_1"
"4","MURARO_PANCREAS_DUCTAL_CELL"
"4","Monocyte"
