"cluster","celltype"
"g1","CD8+ Tcm_HPCA_2"
"g1","Tregs_HPCA_2"
"g1","Tregs_HPCA_3"
"g1","NK cells_IRIS_3"
"g1","NK cells_BLUEPRINT_1"
"g1","NK cells_IRIS_1"
"g1","NK cells_FANTOM_2"
"g1","NK cells_FANTOM_3"
"g1","NK cells_NOVERSHTERN_3"
"g1","NK cells_FANTOM_1"
"g10","Chondrocytes_HPCA_3"
"g10","Chondrocytes_HPCA_2"
"g10","Chondrogenic cell"
"g10","Myofibroblasts"
"g10","Myofibroblasts"
"g10","Chondrocytes_HPCA_1"
"g10","Myoepithelial cell"
"g10","Axin2-Palpha+ cell"
"g10","HPCA_MSC"
"g10","Ito cell (hepatic stellate cell)"
"g11","HAY_BONE_MARROW_CD34_POS_EO_B_MAST"
"g11","Mast cell"
"g11","HAY_BONE_MARROW_CD34_POS_MEP"
"g11","Hematopoietic stem cell progenitor cell"
"g11","DURANTE_ADULT_OLFACTORY_NEUROEPITHELIUM_MAST_CELLS"
"g11","Eosinophil"
"g11","Basophil"
"g11","HAY_BONE_MARROW_CD34_POS_ERP_EARLY"
"g11","Eosinophil"
"g11","CMP_HPCA_3"
"g12","ly Endothelial cells_FANTOM_1"
"g12","ly Endothelial cells_HPCA_1"
"g12","ly Endothelial cells_HPCA_3"
"g12","ly Endothelial cells_HPCA_2"
"g12","Endothelial cell"
"g12","Endothelial cell"
"g12","Endothelial cell"
"g12","HSC_BLUEPRINT_1"
"g12","Endothelial cell"
"g12","Endothelial cells_BLUEPRINT_1"
"g13","AIZARANI_LIVER_C8_RESIDENT_B_CELLS_1"
"g13","Plasma cells_IRIS_3"
"g13","DURANTE_ADULT_OLFACTORY_NEUROEPITHELIUM_PLASMA_CELLS"
"g13","AIZARANI_LIVER_C38_RESIDENT_B_CELLS_3"
"g13","Plasma cells_BLUEPRINT_1"
"g13","AIZARANI_LIVER_C22_RESIDENT_B_CELLS_2"
"g13","Cancer stem cell (Multiple Myeloma)"
"g13","HAY_BONE_MARROW_PLASMA_CELL"
"g13","Plasma cell (Renal Cell Carcinoma)"
"g13","Plasma cells_IRIS_2"
"g14","Pancreatic endoderm cell"
"g14","Epithelial cell (Ovarian Cancer)"
"g14","Cardiomyocyte"
"g14","Neurons_ENCODE_1"
"g14","GAO_LARGE_INTESTINE_24W_C4_PROM1LOW_PROGENITOR"
"g14","PROM1Low progenitor cell"
"g14","MURARO_PANCREAS_EPSILON_CELL"
"g14","Endothelial cell"
"g14","ZHONG_PFC_MAJOR_TYPES_EXCITATORY_NEURON"
"g14","Insulinoma cell"
"g15","AIZARANI_LIVER_C38_RESIDENT_B_CELLS_3"
"g15","Plasma cell"
"g15","AIZARANI_LIVER_C22_RESIDENT_B_CELLS_2"
"g15","AIZARANI_LIVER_C8_RESIDENT_B_CELLS_1"
"g15","Plasma cell (Renal Cell Carcinoma)"
"g15","Follicular B cell"
"g15","Plasma cells_BLUEPRINT_1"
"g15","Intestinal stem cell"
"g15","Marginal zone B cell"
