"cluster","celltype"
"1","CUI_DEVELOPING_HEART_C9_B_T_CELL"
"1","BLOOD DENDRITIC CELLS"
"1","TLYMPHOCYTE"
"1","FAN_EMBRYONIC_CTX_BIG_GROUPS_BRAIN_IMMUNE"
"1","DENDRITIC CELL"
"1","CD34+ CELL"
"1","AIZARANI_LIVER_C1_NK_NKT_CELLS_1"
"1","FAN_EMBRYONIC_CTX_BRAIN_NAIVE_LIKE_T_CELL"
"1","CORD BLOOD"
"1","BONE MARROW (BULK TISSUE)"
"2","BLOOD DENDRITIC CELLS"
"2","CORD BLOOD"
"2","BONE MARROW (BULK TISSUE)"
"2","DENDRITIC CELL"
"2","HAY_BONE_MARROW_NAIVE_T_CELL"
"2","Transit amplifying (TA) cell"
"2","CD34+ CELL"
"2","LAKE_ADULT_KIDNEY_C7_PROXIMAL_TUBULE_EPITHELIAL_CELLS_S3"
"2","LAKE_ADULT_KIDNEY_C8_DECENDING_THIN_LIMB"
"2","MURARO_PANCREAS_ACINAR_CELL"
"3","TLYMPHOCYTE"
"3","HAY_BONE_MARROW_NAIVE_T_CELL"
"3","BLOOD DENDRITIC CELLS"
"3","AIZARANI_LIVER_C3_NK_NKT_CELLS_2"
"3","CORD BLOOD"
"3","DENDRITIC CELL"
"3","BONE MARROW (BULK TISSUE)"
"3","CUI_DEVELOPING_HEART_C9_B_T_CELL"
"3","LAKE_ADULT_KIDNEY_C18_COLLECTING_DUCT_PRINCIPAL_CELLS_MEDULLA"
"3","DURANTE_ADULT_OLFACTORY_NEUROEPITHELIUM_CD8_T_CELLS"
"4","LAKE_ADULT_KIDNEY_C12_THICK_ASCENDING_LIMB"
"4","BLOOD DENDRITIC CELLS"
"4","LAKE_ADULT_KIDNEY_C19_COLLECTING_DUCT_INTERCALATED_CELLS_TYPE_A_MEDULLA"
"4","LAKE_ADULT_KIDNEY_C9_THIN_ASCENDING_LIMB"
"4","LAKE_ADULT_KIDNEY_C8_DECENDING_THIN_LIMB"
"4","MURARO_PANCREAS_ACINAR_CELL"
"4","LAKE_ADULT_KIDNEY_C18_COLLECTING_DUCT_PRINCIPAL_CELLS_MEDULLA"
